team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
Abilene Christian,191.8,190,147,249,5,41.2,53.9,41.2
Maine,164.0,191,91,221,5,58.6,45.7,58.6
UIC,225.0,192,144,333,5,86.0,63.4,86.0
Southern Utah,216.8,193,133,299,5,67.9,60.6,67.9
Saint Mary's College,185.8,194,143,208,5,25.8,52.0,25.8
Wofford,206.0,195,174,254,5,35.0,57.9,35.0
Mercer,196.0,196,123,323,5,77.7,54.7,77.7
Nevada,191.2,197,146,228,5,36.3,53.4,36.3
Idaho State,175.8,198,80,225,5,60.0,48.9,60.0
Lamar,178.0,199,99,250,5,63.5,50.1,63.5
La Salle,217.6,200,147,292,5,69.4,60.9,69.4
Georgia Southern,206.8,201,175,251,5,28.9,58.1,28.9
Northern Colorado,201.4,202,170,249,5,29.6,56.4,29.6
Utah Tech,234.3,203,170,333,3,86.8,64.8,86.8
Little Rock,205.8,204,166,242,5,32.4,57.6,32.4
Oral Roberts,182.6,205,100,256,5,63.8,51.4,63.8
Campbell,206.4,206,158,262,5,37.3,57.8,37.3
Northeastern,240.8,207,146,358,5,90.9,67.3,90.9
Milwaukee,193.8,208,68,292,5,80.7,53.9,80.7
Jacksonville State,195.4,209,137,255,5,50.3,54.5,50.3
Lipscomb,229.4,210,188,294,5,48.0,64.5,48.0
FIU,214.6,211,179,275,5,37.3,60.1,37.3
Tennessee-Martin,190.8,212,78,238,5,64.1,53.1,64.1
Eastern Illinois,209.2,213,171,256,5,30.7,58.6,30.7
Eastern Kentucky,214.6,214,172,268,5,40.7,60.2,40.7
Northern Illinois,203.4,215,134,244,5,44.6,56.8,44.6
Akron,219.8,216,148,295,5,56.6,61.5,56.6
New Mexico State,203.0,217,151,264,5,44.8,57.0,44.8
Coastal Carolina,218.8,218,122,322,5,71.1,61.6,71.1
Eastern Washington,198.8,219,77,292,5,93.9,56.0,93.9
Texas State,212.4,220,151,253,5,39.0,59.5,39.0
Utah Valley,236.6,221,171,325,5,64.7,66.2,64.7
Arkansas State,213.6,222,148,275,5,52.6,60.0,52.6
UC Santa Barbara,203.8,223,154,225,5,29.4,57.1,29.4
Fairleigh Dickinson,211.2,224,124,318,5,73.3,59.2,73.3
Loyola-Marymount,232.4,225,204,286,5,31.6,65.1,31.6
UC Riverside,227.2,226,196,291,5,37.6,63.6,37.6
William & Mary,233.2,227,178,292,5,44.9,65.3,44.9
