fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Elli Guiney,UNLV,2305844,71,4.24,14,94.71,93.95,0.15,0.08,0.07,-0.98,0.26,-1.24,2,0,0.14,0.0,MWC
Heidur Karlsdottir,Wyoming,2310572,76,4.41,15,88.84,83.97,0.13,0.01,0.12,-2.18,-1.58,-0.6,2,2,0.13,0.13,MWC
Karoline Lundin,Wyoming,2310573,69,4.05,9,100.05,72.51,-0.03,-0.05,0.02,,,,0,0,0.0,0.0,MWC
Logann Alvar,Wyoming,2310575,72,6.37,23,92.9,96.23,0.3,0.1,0.2,-3.49,-2.62,-0.87,2,2,0.09,0.09,MWC
Brooke Carlson,Colorado St.,2311566,68,20.69,30,93.91,100.25,2.22,1.43,0.79,-0.02,0.97,-0.99,38,8,1.27,0.27,MWC
Kloe Froebe,Colorado St.,2311567,68,19.95,30,96.5,115.56,3.07,2.48,0.59,0.2,0.41,-0.22,13,1,0.43,0.03,MWC
Kaylee Headrick,Colorado St.,2311569,70,7.5,25,98.45,111.06,0.57,0.42,0.15,-2.35,0.55,-2.9,2,3,0.08,0.12,MWC
Mia Tarver,Utah St.,2319747,67,27.78,28,102.96,77.0,-0.26,-0.49,0.24,-4.78,-2.66,-2.12,59,3,2.11,0.11,MWC
Ava Smith,Utah St.,2319751,68,8.76,17,108.6,55.21,-0.41,-0.37,-0.04,-3.43,-2.26,-1.17,6,0,0.35,0.0,MWC
Denae Skelton,Utah St.,2319754,68,15.98,26,109.86,83.37,-0.13,0.04,-0.18,-5.76,-1.89,-3.87,10,5,0.38,0.19,MWC
Carlie Latta,Utah St.,2319760,70,32.12,31,109.57,101.71,1.1,1.49,-0.39,-2.58,-0.8,-1.78,36,7,1.16,0.23,MWC
Karlie Banks,Utah St.,2319762,71,8.55,13,106.84,,,,-0.01,-1.6,-0.94,-0.66,4,0,0.31,0.0,MWC
Elise Livingston,Utah St.,2319763,69,22.27,31,108.59,76.77,-0.56,-0.36,-0.2,-2.08,-1.72,-0.36,15,3,0.48,0.1,MWC
Taliyah Logwood,Utah St.,2319767,69,17.41,23,97.3,92.82,1.02,0.66,0.36,-1.2,-1.6,0.4,37,8,1.61,0.35,MWC
Kaelyn Hamilton,San Diego St.,2319887,69,12.03,32,92.51,86.53,0.68,0.14,0.54,1.35,0.78,0.57,17,2,0.53,0.06,MWC
Bailey Barnhard,San Diego St.,2319892,73,6.1,27,93.39,99.12,0.48,0.26,0.22,-0.65,-0.06,-0.59,5,2,0.19,0.07,MWC
Nat Martinez,San Diego St.,2319893,67,22.99,33,95.1,111.09,2.7,1.83,0.86,1.94,2.21,-0.27,19,7,0.58,0.21,MWC
Naomi Panganiban,San Diego St.,2319895,67,25.63,33,97.95,95.47,2.07,1.36,0.71,-1.35,-0.66,-0.7,18,3,0.55,0.09,MWC
Mecca Alexander,San Jose St.,2319970,67,7.8,17,107.67,31.89,-0.55,-0.53,-0.03,-2.56,-2.34,-0.22,1,1,0.06,0.06,MWC
Stella Sgro,San Jose St.,2319973,71,5.44,17,103.79,79.5,-0.01,-0.03,0.02,-0.04,-0.6,0.56,4,1,0.24,0.06,MWC
Milly Sharp,Boise St.,2329270,69,5.4,25,93.51,64.31,-0.02,-0.2,0.18,2.79,1.48,1.3,9,3,0.36,0.12,MWC
Libby Hutton,Boise St.,2329272,72,9.64,28,97.69,78.92,0.13,-0.1,0.23,-1.0,-1.84,0.84,6,9,0.21,0.32,MWC
Teryn Gardner,Boise St.,2329279,69,12.3,30,97.23,96.86,0.81,0.47,0.34,0.15,0.26,-0.11,16,1,0.53,0.03,MWC
Kendra Hicks,Nevada,2337923,72,7.24,20,99.07,54.78,-0.28,-0.38,0.1,-0.55,-0.62,0.07,4,1,0.2,0.05,MWC
Emma Lytle,Air Force,2348328,67,6.54,15,103.3,87.9,0.07,0.04,0.03,-1.2,-1.98,0.78,1,0,0.07,0.0,MWC
Hannah Hartley,Nevada,1710127,71,2.11,4,97.61,,,,0.01,,,,0,0,0.0,0.0,MWC
Nailea Nicholas,San Jose St.,1924287,73,2.21,1,113.39,,,,-0.0,,,,0,0,0.0,0.0,MWC
Lana Beslic,Wyoming,2310571,68,1.95,5,102.91,,,,0.0,,,,0,0,0.0,0.0,MWC
Sydney Roundtree,Air Force,2348324,72,3.48,7,92.11,,,,0.04,,,,1,2,0.14,0.29,MWC
Joslin Igo,Wyoming,2110393,66,1.13,8,102.91,,,,0.0,,,,0,0,0.0,0.0,MWC
Elle Motherway,Nevada,2117128,71,1.48,1,110.37,,,,-0.0,,,,0,0,0.0,0.0,MWC
Ellie Chen,San Diego St.,2161671,65,1.13,7,103.62,,,,0.0,,,,0,0,0.0,0.0,MWC
Riley Ward,Utah St.,2319756,67,3.22,1,116.97,,,,-0.0,,,,0,0,0.0,0.0,MWC
Parker Brown,Air Force,1924048,72,3.05,7,97.21,51.59,-0.04,-0.06,0.02,,,,1,0,0.14,0.0,MWC
Kaliyah Dillard,San Jose St.,2118941,72,3.05,5,107.28,40.85,-0.04,-0.04,-0.0,,,,0,0,0.0,0.0,MWC
Mackenzie Naro,Boise St.,1764034,68,2.66,5,91.97,,,,0.02,,,,1,0,0.2,0.0,MWC
Mikyn Hamlin,Wyoming,2110392,68,2.31,9,102.19,,,,0.01,,,,0,0,0.0,0.0,MWC
Tanah Gorman,Air Force,2348325,72,1.84,4,92.43,,,,0.01,,,,0,0,0.0,0.0,MWC
Natalija Grizelj,San Diego St.,1933317,69,1.66,6,88.46,,,,0.02,,,,0,0,0.0,0.0,MWC
Alannah Chatfield,Fresno St.,1943900,68,2.59,9,107.94,,,,-0.01,,,,0,0,0.0,0.0,MWC
Lilli Hakkarainen,New Mexico,2273437,67,3.04,4,94.09,,,,0.02,,,,1,0,0.25,0.0,MWC
Ann Zachariah,Colorado St.,2118963,74,3.36,10,96.23,,,,0.03,,,,1,0,0.1,0.0,MWC
