NAME,GP,ROLE,COUNTRY,FIBA_CLASS,FIBA_YEAR,SCRAPE_TIMESTAMP,POSS,PTS,PPP,AST,TO,FG%,3FG_ATT,3FG%,EFG%,TOT_REB,FT_ATT,FT%,STL_BLK,AST_TO
Tess Heal,5,Slashing wing,Australia,U18,2022,2025-05-27 11:30:45.489651,7.8,7.0,0.897,2.4,2.0,52.0%,1.2,33.3%,56.0%,4.4,2.2,63.6%,1.2,1.20
Saffron Shiels,5,Scoring ball handler,Australia,U18,2024,2025-05-27 11:30:41.764527,19.4,18.6,0.959,3.6,3.6,53.6%,2.4,33.3%,56.5%,11.4,5.0,60.0%,0.8,1.00
Lara Somfai,5,Slashing wing,Australia,U18,2024,2025-05-27 11:30:41.782407,18.8,17.0,0.904,2.2,3.2,49.3%,4.2,19.0%,52.0%,10.8,2.0,70.0%,1.8,0.69
Bonnie Deas,5,Slashing wing,Australia,U18,2024,2025-05-27 11:30:41.803237,13.6,13.8,1.015,2.4,0.6,45.5%,3.0,26.7%,49.1%,5.8,4.0,75.0%,3.2,4.00
Monique Bobongie,5,Playmaking wing,Australia,U18,2024,2025-05-27 11:30:41.819869,10.8,10.4,0.963,3.0,3.2,60.0%,2.8,35.7%,67.1%,4.8,1.2,83.3%,2.8,0.94
