lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
AM-AC-ZO-PR-CH,21.26,-16.981,-3,-39.075,7.067,11.0,10.26,15,18,0.75,0.091,0.0,0.0,136.364,0.667,0.097,0.195,0.667,175.439,-11.381,34.101,63.642,-29.541,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-AC-MH-CH,18.59,35.672,5,19.374,5.607,10.73,7.86,13,8,0.429,0.186,0.093,1.0,121.156,0.571,0.382,0.254,0.0,101.781,41.272,18.893,-10.015,28.908,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-ZO-MH-CH,14.46,-8.905,-1,-29.565,4.492,7.66,6.8,9,10,0.643,0.261,0.261,0.286,117.493,0.9,0.147,0.0,0.4,147.059,-3.305,15.231,35.262,-20.031,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-ZO-MH-CH,11.12,-23.438,-2,56.696,3.413,3.66,7.46,6,8,0.4,0.0,0.546,0.4,163.934,0.4,0.402,0.268,0.8,107.239,-17.837,61.672,-4.558,66.23,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-IK-MH-PR,8.8,-25.397,-2,-14.737,3.15,3.8,5.0,4,6,0.75,0.263,0.0,1.0,105.263,0.6,0.0,0.0,0.0,120.0,-19.797,3.001,8.204,-5.203,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-IK-MH-CH,8.0,-42.857,-3,-75.0,2.8,4.0,4.0,2,5,0.333,0.25,0.0,0.0,50.0,0.625,0.0,0.0,0.0,125.0,-37.257,-52.263,13.204,-65.466,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-AC-MH-PR,8.79,0.0,0,-68.259,2.762,5.86,2.93,4,4,0.286,0.171,0.341,0.0,68.259,0.667,0.341,0.341,0.0,136.519,5.6,-34.003,24.722,-58.725,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-IK-ZO-MH-CH,8.93,-66.207,-4,-71.704,2.417,4.0,4.93,2,6,0.25,0.0,0.0,0.0,50.0,0.6,0.203,0.203,0.0,121.704,-60.607,-52.263,9.907,-62.17,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-AC-PR-CH,6.73,17.518,1,30.03,2.283,3.33,3.4,1,0,0.0,0.3,0.3,0.333,30.03,0.0,0.294,0.294,0.5,0.0,23.118,-72.233,-111.796,39.564,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-KJ-PR-CH,5.66,36.09,2,83.709,2.217,2.66,3.0,4,2,0.25,0.0,0.752,0.5,150.376,0.333,0.0,0.0,0.0,66.667,41.69,48.113,-45.13,93.243,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-ZO-MH-PR,7.0,95.238,5,183.333,2.1,3.0,4.0,7,2,1.167,0.0,0.0,0.0,233.333,0.5,0.5,0.0,0.0,50.0,100.838,131.071,-61.796,192.867,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AM-ZO-PR-CH,5.86,-61.75,-3,-108.159,1.943,3.0,2.86,2,5,0.333,0.0,0.0,0.0,66.667,0.625,0.35,0.699,0.0,174.825,-56.149,-35.596,63.029,-98.625,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-IK-ZO-KJ-CH,5.0,43.636,2,66.667,1.833,3.0,2.0,2,0,0.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,49.237,-35.596,-111.796,76.201,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-IK-ZO-MH-PR,4.86,92.308,4,133.333,1.733,3.0,1.86,4,0,0.667,0.0,0.0,0.0,133.333,0.0,0.0,1.075,0.0,0.0,97.908,31.071,-111.796,142.867,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-ZO-KJ-CH,5.53,-72.072,-3,-11.226,1.665,1.93,3.6,3,6,0.75,0.518,0.518,0.0,155.44,1.0,0.278,0.0,4.0,166.667,-66.472,53.178,54.87,-1.692,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-ZO-KJ-PR,5.0,-162.162,-5,-166.667,1.233,2.0,3.0,0,5,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,166.667,-156.562,-102.263,54.87,-157.133,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-ZO-MH-PR-CH,3.8,76.19,2,111.111,1.05,1.8,2.0,2,0,0.0,0.0,0.0,2.0,111.111,0.0,0.0,0.0,0.0,0.0,81.791,8.849,-111.796,120.645,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AC-IK-ZO-KJ-PR,0.93,0.0,0,0.0,0.7,1.0,-0.07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-14.286,0.0,-0.0,5.6,-102.263,-111.796,9.534,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
AM-AC-IK-MH-CH,1.93,0.0,0,0.0,0.533,1.0,0.93,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.075,1.075,0.0,0.0,5.6,-102.263,-111.796,9.534,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AC-IK-KJ-PR,1.8,0.0,0,0.0,0.517,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-102.263,-111.796,9.534,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
JL-AC-IK-MH-PR,2.0,-165.517,-2,-200.0,0.483,1.0,1.0,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,-159.917,-102.263,88.204,-190.466,49.998,-7,80,87,78.23,77.82,156.05,102.263,111.796,-9.534,-5.6
