lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
AM-AC-ZO-MH-PR,28.13,26.991,5,38.789,7.41,13.73,14.4,12,7,0.188,0.146,0.073,1.5,87.4,0.222,0.208,0.0,0.667,48.611,22.546,-23.39,-59.767,36.378,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AC-IK-KJ-CH,17.66,-31.028,-4,-46.07,5.157,8.86,8.8,8,12,0.4,0.113,0.226,0.0,90.293,0.625,0.0,0.0,0.25,136.364,-35.472,-20.496,27.985,-48.481,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-IK-ZO-MH-PR,18.8,16.162,2,7.727,4.95,10.0,8.8,11,9,0.917,0.4,0.0,0.0,110.0,0.875,0.455,0.0,0.5,102.273,11.717,-0.79,-6.106,5.316,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-AC-ZO-KJ-PR,10.547,40.404,4,64.357,3.96,5.687,4.86,6,2,0.6,0.176,0.176,0.2,105.509,0.2,0.412,0.412,0.0,41.152,35.96,-5.28,-67.226,61.946,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-IK-MH-CH,13.8,10.435,1,10.084,3.833,7.0,6.8,11,10,0.786,0.0,0.0,0.0,157.143,1.0,0.294,0.0,0.5,147.059,5.99,46.353,38.68,7.673,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AC-IK-MH-CH,8.0,28.743,2,50.0,2.783,4.0,4.0,6,4,1.0,0.25,0.0,0.0,150.0,0.667,0.25,0.0,0.0,100.0,24.298,39.21,-8.378,47.589,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
MS-JL-AM-MH-CH,7.0,0.0,0,-33.333,2.3,4.0,3.0,4,4,0.667,0.25,0.0,0.0,100.0,0.667,0.0,0.0,0.0,133.333,-4.444,-10.79,24.955,-35.745,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-IK-PR-CH,6.65,-35.036,-2,-107.488,2.283,3.93,2.72,3,5,0.3,0.0,0.254,0.0,76.336,0.417,0.368,1.471,0.0,183.824,-39.481,-34.454,75.445,-109.899,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-IK-KJ-PR,6.93,-70.588,-4,-81.741,2.267,2.93,4.0,2,6,0.25,0.0,0.341,0.0,68.259,0.75,0.0,0.0,0.0,150.0,-75.033,-42.53,41.622,-84.152,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-IK-ZO-MH-CH,5.66,-149.688,-6,-118.579,1.603,2.0,3.66,2,8,1.0,0.5,0.0,0.0,100.0,0.6,0.0,0.546,0.4,218.579,-154.133,-10.79,110.201,-120.99,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-IK-ZO-KJ-PR,3.93,0.0,0,3.627,1.567,1.93,2.0,2,2,0.5,0.518,0.518,0.0,103.627,0.5,0.0,0.0,0.0,100.0,-4.444,-7.163,-8.378,1.216,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AC-IK-ZO-MH-CH,3.0,54.545,2,200.0,1.467,1.0,2.0,2,0,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,50.101,89.21,-108.378,197.589,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-IK-ZO-MH-PR,6.19,251.874,7,167.064,1.112,4.19,2.0,7,0,0.583,0.239,0.955,0.167,167.064,0.0,1.0,0.0,0.0,0.0,247.43,56.275,-108.378,164.653,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-IK-MH-PR,1.93,-76.19,-2,-200.0,1.05,0.93,1.0,0,2,0.0,0.0,1.075,0.0,0.0,1.0,0.0,0.0,0.0,200.0,-80.635,-110.79,91.622,-202.411,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-ZO-MH-CH,2.93,-128.571,-3,-59.067,0.933,1.0,1.93,2,5,1.0,0.0,0.0,0.0,200.0,0.833,0.0,0.518,0.0,259.067,-133.016,89.21,150.689,-61.479,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AC-IK-ZO-KJ-PR,1.0,-97.363,-2,-200.0,0.822,0.0,1.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,-101.808,-110.79,91.622,-202.411,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-ZO-MH-PR-CH,2.0,0.0,0,0.0,0.73,2.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.444,-110.79,-108.378,-2.411,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AM-IK-KJ-CH,2.0,300.0,3,300.0,0.4,1.0,1.0,3,0,1.5,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,295.556,189.21,-108.378,297.589,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
JL-AC-IK-KJ-PR,0.73,228.571,2,273.973,0.35,0.73,0.0,2,0,0.0,0.0,1.37,2.0,273.973,0.0,0.0,0.0,0.0,0.0,224.127,163.183,-108.378,271.561,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
AM-AC-MH-PR-CH,0.0,0.0,0,0.0,0.023,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.444,-110.79,-108.378,-2.411,45.0,5,83,78,74.917,71.97,146.887,110.79,108.378,2.411,4.444
