lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,24.79,26.625,5,48.579,7.512,11.93,12.86,16,11,0.727,0.168,0.084,0.0,134.116,0.458,0.233,0.156,0.0,85.537,19.625,16.346,-23.749,40.094,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-IK-MH-PR,35.08,46.154,8,49.388,6.933,17.298,17.781,28,20,0.5,0.116,0.231,1.231,161.866,0.526,0.225,0.281,0.105,112.478,39.154,44.096,3.192,40.903,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-AC-KJ-CH,10.99,0.0,0,-23.139,2.587,5.99,5.0,7,7,0.286,0.167,0.501,0.429,116.861,0.875,0.2,0.0,0.0,140.0,-7.0,-0.909,30.715,-31.623,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AC-IK-MH-CH,8.86,-32.476,-2,-50.0,2.463,4.86,4.0,0,2,0.0,0.823,0.412,0.0,0.0,0.333,0.25,0.0,0.0,50.0,-39.476,-117.77,-59.285,-58.485,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-AC-MH-CH,8.53,-16.842,-1,-10.375,2.375,4.0,4.53,4,5,0.5,0.0,0.0,0.0,100.0,0.333,0.221,0.221,1.333,110.375,-23.842,-17.77,1.09,-18.86,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AM-AC-ZO-MH-PR,7.93,52.941,3,78.562,2.267,3.93,4.0,8,5,0.8,0.0,0.254,0.0,203.562,0.833,0.25,0.0,0.0,125.0,45.941,85.792,15.715,70.078,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-ZO-MH-CH,11.66,-35.768,-2,-37.847,2.237,5.93,5.73,5,7,0.5,0.337,0.169,0.0,84.317,0.5,0.175,0.175,0.4,122.164,-42.768,-33.453,12.879,-46.332,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AC-ZO-KJ-CH,4.45,-55.901,-3,-57.359,2.147,1.65,2.8,2,5,0.143,0.0,3.03,0.0,121.212,1.0,0.0,0.0,1.0,178.571,-62.901,3.442,69.286,-65.844,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AM-AC-ZO-KJ-PR,3.86,-18.898,-1,186.062,2.117,0.93,2.93,3,4,0.75,0.0,1.075,0.0,322.581,0.5,0.0,0.341,0.0,136.519,-25.898,204.811,27.233,177.577,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AC-IK-ZO-MH-PR,7.93,-88.889,-4,-102.672,1.8,4.0,3.93,2,6,0.5,0.5,0.0,0.0,50.0,0.75,0.254,0.254,0.0,152.672,-95.889,-67.77,43.386,-111.156,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AC-ZO-MH-CH,4.6,-73.62,-3,-107.143,1.63,1.8,2.8,0,3,0.0,0.0,0.0,2.0,0.0,1.0,0.357,0.0,2.0,107.143,-80.62,-117.77,-2.143,-115.628,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-AC-MH-PR,7.687,0.0,0,-4.249,1.5,4.0,3.687,2,2,0.25,0.0,0.0,0.0,50.0,0.333,0.271,0.271,0.333,54.249,-7.0,-67.77,-55.036,-12.734,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AM-IK-ZO-MH-PR,4.8,55.172,2,42.857,1.45,2.8,2.0,4,2,1.0,0.357,0.0,2.0,142.857,0.5,0.0,0.0,0.0,100.0,48.172,25.087,-9.285,34.372,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AC-IK-ZO-KJ-CH,5.0,82.759,2,66.667,0.967,3.0,2.0,2,0,0.333,0.0,0.0,0.0,66.667,0.0,1.0,0.0,0.0,0.0,75.759,-51.103,-109.285,58.182,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AC-IK-MH-PR,4.8,100.0,2,42.857,0.8,2.8,2.0,4,2,1.0,0.357,0.0,2.0,142.857,1.0,0.5,0.0,0.0,100.0,93.0,25.087,-9.285,34.372,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
AM-AC-ZO-KJ-CH,3.13,55.814,1,-78.69,0.717,2.2,0.93,3,2,0.0,0.0,0.0,3.0,136.364,0.5,0.0,1.075,0.0,215.054,48.814,18.594,105.768,-87.175,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
JL-AM-ZO-KJ-CH,1.8,0.0,0,-50.0,0.5,1.0,0.8,2,2,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,250.0,-7.0,82.23,140.715,-58.485,40.0,7,92,85,78.118,77.778,155.896,117.77,109.285,8.485,7.0
