"Team","Record","NET Rank","NET Delta"
"   New Mexico  ","17-14","156",""
"   UC Irvine  ","21-10","157",""
"   Campbell  ","20-13","158",""
"   VCU  ","12-19","159",""
"   Dayton  ","18-13","160",""
"   Holy Cross  ","19-12","161",""
"   Penn  ","13-13","162",""
"   Old Dominion  ","16-16","163",""
"   Army  ","24-8","164",""
"   Fairleigh Dickinson  ","27-4","165",""
"   Tarleton State  ","18-14","166",""
"   Louisiana  ","12-16","167",""
"   Lindenwood  ","22-11","168",""
"   Air Force  ","16-15","169",""
"   Central Arkansas  ","21-10","170",""
"   Eastern Illinois  ","18-12","171",""
"   Eastern Kentucky  ","19-12","172",""
"   Chattanooga  ","14-15","173",""
"   Wofford  ","13-12","174",""
"   UAB  ","15-16","175",""
"   Bucknell  ","17-14","176",""
"   Howard  ","22-12","177",""
"   Houston  ","5-25","178",""
"   Pacific  ","14-19","179",""
"   UTA  ","16-14","180",""
"   Southern  ","19-15","181",""
"   UC San Diego  ","18-16","182",""
"   East Tennessee State  ","15-13","183",""
"   Montana  ","12-18","184",""
"   Brown  ","11-15","185",""
"   Louisiana Tech  ","16-16","186",""
"   Fresno State  ","17-15","187",""
"   Lipscomb  ","18-12","188",""
"   Utah Valley  ","17-13","189",""
"   Wichita State  ","9-22","190",""
"   Marshall  ","13-20","191",""
"   Saint Mary's College  ","14-17","192",""
"   Navy  ","18-12","193",""
"   Central Michigan  ","13-17","194",""
"   Coppin State  ","18-15","195",""
"   Idaho State  ","12-17","196",""
"   Saint Thomas  ","14-14","197",""
"   Georgia Southern  ","15-18","198",""
"   Saint Louis  ","15-19","199",""
"   Fordham  ","15-14","200",""
"   ULM  ","9-19","201",""
"   Nicholls  ","16-14","202",""
"   Northern Colorado  ","11-17","203",""
"   Bradley  ","13-19","204",""
"   High Point  ","19-12","205",""
"   Memphis  ","7-23","206",""
"   Mount Saint Mary's  ","15-16","207",""
"   Sacramento State  ","13-18","208",""
"   Northwestern State  ","13-16","209",""
"   Tennessee-Martin  ","12-19","210",""
"   Georgia State  ","15-16","211",""
"   Drexel  ","16-13","212",""
"   Western Illinois  ","15-17","213",""
"   Eastern Washington  ","9-20","214",""
"   Santa Clara  ","12-17","215",""
"   Alabama A&M  ","20-11","216",""
"   Manhattan  ","16-15","217",""
"   Incarnate Word  ","14-14","218",""
"   Valparaiso  ","11-19","219",""
"   UC Santa Barbara  ","16-13","220",""
"   Maine  ","14-16","221",""
"   Loyola-Marymount  ","12-16","222",""
"   UC Riverside  ","15-15","223",""
"   Nevada  ","9-21","224",""
"   North Dakota  ","9-19","225",""
"   UTRGV  ","14-16","226",""
"   Maryland Eastern Shore  ","10-17","227",""
"   Appalachian State  ","11-17","228",""
"   Jacksonville  ","13-17","229",""
"   Jacksonville State  ","8-20","230",""
"   Bellarmine  ","16-15","231",""
"   Kennesaw State  ","11-18","232",""
"   Delaware  ","13-17","233",""
"   FAU  ","11-21","234",""
"   Little Rock  ","13-16","235",""
"   Weber State  ","12-16","236",""
"   George Washington  ","12-18","237",""
"   Northern Illinois  ","12-17","238",""
"   Long Beach State  ","15-14","239",""
"   Furman  ","13-16","240",""
"   Siena  ","17-14","241",""
"   Northern Kentucky  ","10-21","242",""
"   Austin Peay  ","12-17","243",""
"   Texas A&M-Corpus Christi  ","11-17","244",""
"   Longwood  ","19-12","245",""
"   Omaha  ","12-17","246",""
"   Xavier  ","7-24","247",""
"   Robert Morris  ","14-16","248",""
"   Towson  ","12-20","249",""
"   Charlotte  ","11-21","250",""
"   Monmouth  ","16-15","251",""
"   Marist  ","16-15","252",""
"   Texas State  ","11-17","253",""
"   Cornell  ","7-20","254",""
"   Western Carolina  ","10-17","255",""
"   Bryant  ","16-15","256",""
"   Denver  ","7-20","257",""
"   Cal Poly  ","12-18","258",""
"   Western Michigan  ","11-18","259",""
"   Grambling State  ","12-15","260",""
"   Sam Houston State  ","10-17","261",""
"   California Baptist  ","12-19","262",""
"   William & Mary  ","15-19","263",""
"   Binghamton  ","12-15","264",""
"   Merrimack  ","14-17","265",""
"   Detroit  ","14-15","266",""
"   Elon  ","14-15","267",""
"   South Dakota  ","8-20","268",""
"   UTEP  ","9-19","269",""
"   Hofstra  ","14-16","270",""
"   Samford  ","8-19","271",""
"   UMKC  ","9-21","272",""
"   North Alabama  ","11-17","273",""
"   Southern Miss  ","8-21","274",""
"   FIU  ","10-19","275",""
"   Stetson  ","14-15","276",""
"   Stony Brook  ","11-18","277",""
"   NJIT  ","11-19","278",""
"   Texas Southern  ","16-16","279",""
"   UNCW  ","12-18","280",""
"   Jackson State  ","16-15","281",""
"   San Diego  ","5-24","282",""
"   Pepperdine  ","8-22","283",""
"   Indiana State  ","4-28","284",""
"   San Jose State  ","8-22","285",""
"   West Georgia  ","11-17","286",""
"   Loyola-Chicago  ","12-17","287",""
"   IU Indianapolis  ","9-21","288",""
"   Boston University  ","12-19","289",""
"   La Salle  ","9-23","290",""
"   Florida A&M  ","8-21","291",""
"   Milwaukee  ","7-24","292",""
"   New Orleans  ","5-24","293",""
"   Sacred Heart  ","8-20","294",""
"   Akron  ","8-21","295",""
"   UMBC  ","12-15","296",""
"   Youngstown State  ","9-19","297",""
"   Tennessee State  ","9-21","298",""
"   Southern Utah  ","7-21","299",""
"   Loyola-Maryland  ","8-21","300",""
"   Saint Peter's  ","11-19","301",""
"   Utah State  ","4-27","302",""
"   Wright State  ","10-21","303",""
"   New Hampshire  ","9-20","304",""
"   Radford  ","12-17","305",""
"   East Texas A&M  ","5-22","306",""
"   Oakland  ","8-22","307",""
"   South Alabama  ","4-24","308",""
"   Evansville  ","6-25","309",""
"   Iona  ","11-21","310",""
"   Alcorn State  ","12-18","311",""
"   Lafayette  ","10-21","312",""
"   Charleston Southern  ","14-16","313",""
"   Dartmouth  ","6-19","314",""
"   Queens  ","8-19","315",""
"   Morehead State  ","7-20","316",""
"   Portland State  ","4-24","317",""
"   Bethune-Cookman  ","8-21","318",""
"   Hampton  ","7-23","319",""
"   Morgan State  ","10-17","320",""
"   Winthrop  ","14-15","321",""
"   Gardner-Webb  ","10-18","322",""
"   Mercer  ","8-22","323",""
"   SIUE  ","5-22","324",""
"   McNeese  ","6-21","325",""
"   Stonehill  ","16-16","326",""
"   Cal State Fullerton  ","5-23","327",""
"   Eastern Michigan  ","2-27","328",""
"   Yale  ","4-23","329",""
"   Southeast Missouri  ","5-23","330",""
"   Canisius  ","10-21","331",""
"   Rider  ","7-22","332",""
"   Utah Tech  ","4-25","333",""
"   Ohio  ","5-23","334",""
"   Central Connecticut  ","10-19","335",""
"   Saint Bonaventure  ","6-24","336",""
"   Houston Christian  ","4-23","337",""
"   Southern Illinois  ","3-26","338",""
"   Mercyhurst  ","6-18","339",""
"   North Carolina Central  ","8-21","340",""
"   North Florida  ","3-26","341",""
"   Mississippi Valley State  ","8-23","342",""
"   Prairie View A&M  ","7-19","343",""
"   Seattle University  ","3-26","344",""
"   Chicago State  ","7-26","345",""
"   UMass-Lowell  ","3-25","346",""
"   Cal State Bakersfield  ","2-28","347",""
"   South Carolina Upstate  ","7-21","348",""
"   Saint Francis (PA)  ","11-19","349",""
"   Cal State Northridge  ","3-25","350",""
"   Arkansas-Pine Bluff  ","1-25","351",""
"   Presbyterian College  ","5-24","352",""
"   Niagara  ","2-25","353",""
"   Alabama State  ","4-24","354",""
"   UNC Asheville  ","2-27","355",""
"   American  ","1-29","356",""
"   Le Moyne  ","7-24","357",""
"   Northeastern  ","3-25","358",""
"   Wagner  ","6-21","359",""
"   Long Island  ","6-24","360",""
"   South Carolina State  ","2-29","361",""
"   Delaware State  ","1-24","362",""
