"Team","Record","NET Rank","NET Delta"
"   South Carolina  ","36-1","1",""
"   Connecticut  ","31-6","2",""
"   LSU  ","34-2","3",""
"   Stanford  ","29-6","4",""
"   Indiana  ","28-4","5",""
"   Iowa  ","31-7","6",""
"   Utah  ","27-5","7",""
"   Notre Dame  ","27-6","8",""
"   Virginia Tech  ","31-5","9",""
"   Duke  ","26-7","10",""
"   Texas  ","26-10","11",""
"   Villanova  ","30-7","12",""
"   Iowa State  ","22-10","13",""
"   Maryland  ","28-7","14",""
"   Tennessee  ","25-12","15",""
"   Ohio State  ","28-8","16",""
"   North Carolina State  ","20-12","17",""
"   Creighton  ","22-9","18",""
"   Oregon  ","20-15","19",""
"   Louisville  ","26-12","20",""
"   North Carolina  ","22-11","21",""
"   UCLA  ","27-10","22",""
"   Colorado  ","25-9","23",""
"   Florida State  ","23-10","24",""
"   Ole Miss  ","25-9","25",""
"   Michigan  ","23-10","26",""
"   Arizona  ","22-10","27",""
"   Middle Tennessee  ","28-5","28",""
"   Alabama  ","20-11","29",""
"   Washington State  ","23-11","30",""
"   USC  ","21-10","31",""
"   Baylor  ","20-13","32",""
"   Georgia  ","22-12","33",""
"   South Dakota State  ","29-6","34",""
"   South Florida  ","27-7","35",""
"   FGCU  ","31-4","36",""
"   Kansas  ","25-11","37",""
"   Oklahoma  ","26-7","38",""
"   Mississippi State  ","22-11","39",""
"   Princeton  ","24-6","40",""
"   Illinois  ","22-10","41",""
"   Marquette  ","21-11","42",""
"   Nebraska  ","18-15","43",""
"   Gonzaga  ","28-5","44",""
"   Michigan State  ","16-14","45",""
"   Oklahoma State  ","21-12","46",""
"   Columbia  ","28-6","47",""
"   Arkansas  ","24-13","48",""
"   Purdue  ","19-11","49",""
"   Miami (FL)  ","22-13","50",""
"   UNLV  ","30-3","51",""
"   Drake  ","22-10","52",""
"   Virginia  ","15-15","53",""
"   Oregon State  ","13-18","54",""
"   Saint John's  ","23-9","55",""
"   Missouri  ","18-14","56",""
"   Syracuse  ","20-13","57",""
"   Clemson  ","19-16","58",""
"   UMass  ","27-7","59",""
"   West Virginia  ","19-12","60",""
"   DePaul  ","16-17","61",""
"   Northern Iowa  ","23-10","62",""
"   Stephen F. Austin  ","25-7","63",""
"   Seton Hall  ","19-15","64",""
"   Kansas State  ","19-17","65",""
"   Memphis  ","22-11","66",""
"   Toledo  ","29-5","67",""
"   Washington  ","19-15","68",""
"   Cleveland State  ","30-5","69",""
"   Green Bay  ","28-6","70",""
"   Rhode Island  ","26-7","71",""
"   Houston  ","15-16","72",""
"   Bowling Green  ","30-7","73",""
"   Wake Forest  ","17-17","74",""
"   Texas Tech  ","20-15","75",""
"   Ball State  ","25-9","76",""
"   Georgia Tech  ","13-17","77",""
"   Harvard  ","20-12","78",""
"   Portland  ","21-9","79",""
"   Kentucky  ","12-19","80",""
"   Belmont  ","23-12","81",""
"   California  ","13-17","82",""
"   Florida  ","19-15","83",""
"   SMU  ","17-13","84",""
"   Auburn  ","16-15","85",""
"   Sacramento State  ","25-8","86",""
"   Boston College  ","16-17","87",""
"   Illinois State  ","23-9","88",""
"   Colorado State  ","18-12","89",""
"   East Carolina  ","23-10","90",""
"   San Diego State  ","21-11","91",""
"   Penn State  ","14-17","92",""
