"Team","Record","NET Rank","NET Delta"
"   South Carolina  ","35-2","1",""
"   North Carolina State  ","32-4","2",""
"   Stanford  ","32-4","3",""
"   Connecticut  ","30-6","4",""
"   Louisville  ","29-5","5",""
"   North Carolina  ","25-7","6",""
"   Texas  ","29-7","7",""
"   Baylor  ","28-7","8",""
"   Virginia Tech  ","23-10","9",""
"   Iowa State  ","28-7","10",""
"   BYU  ","26-4","11",""
"   Maryland  ","23-9","12",""
"   Oregon  ","19-12","13",""
"   Iowa  ","24-8","14",""
"   Notre Dame  ","24-9","15",""
"   UCF  ","26-4","16",""
"   Michigan  ","25-7","17",""
"   Indiana  ","24-9","18",""
"   Tennessee  ","25-9","19",""
"   Princeton  ","25-5","20",""
"   Gonzaga  ","27-7","21",""
"   Arizona  ","21-8","22",""
"   Nebraska  ","24-9","23",""
"   LSU  ","26-6","24",""
"   Ole Miss  ","23-9","25",""
"   South Dakota  ","28-6","26",""
"   Ohio State  ","25-7","27",""
"   Utah  ","21-12","28",""
"   Georgia  ","21-10","29",""
"   South Dakota State  ","28-9","30",""
"   Creighton  ","23-10","31",""
"   Colorado  ","22-9","32",""
"   Georgia Tech  ","21-11","33",""
"   Arkansas  ","18-14","34",""
"   Kentucky  ","19-12","35",""
"   Oklahoma  ","25-9","36",""
"   Kansas  ","21-10","37",""
"   Kansas State  ","20-13","38",""
"   FGCU  ","27-3","39",""
"   Miami (FL)  ","21-13","40",""
"   UCLA  ","18-13","41",""
"   South Florida  ","24-9","42",""
"   Dayton  ","26-6","43",""
"   Missouri State  ","24-8","44",""
"   Belmont  ","23-8","45",""
"   UMass  ","26-7","46",""
"   Boston College  ","21-12","47",""
"   Florida  ","21-11","48",""
"   Arizona State  ","12-14","49",""
"   Oregon State  ","17-14","50",""
"   Texas A&M  ","14-15","51",""
"   Duke  ","17-13","52",""
"   Alabama  ","20-14","53",""
"   Northern Iowa  ","22-11","54",""
"   Florida State  ","17-14","55",""
"   Missouri  ","18-13","56",""
"   Middle Tennessee  ","27-8","57",""
"   DePaul  ","22-11","58",""
"   Washington State  ","19-11","59",""
"   Mississippi State  ","15-14","60",""
"   Stephen F. Austin  ","26-5","61",""
"   West Virginia  ","15-15","62",""
"   Toledo  ","29-6","63",""
"   Buffalo  ","25-9","64",""
"   Northwestern  ","17-12","65",""
"   Marquette  ","23-11","66",""
"   Rhode Island  ","22-7","67",""
"   Tulane  ","20-10","68",""
"   IUPUI  ","24-5","69",""
"   Villanova  ","24-9","70",""
"   Michigan State  ","15-15","71",""
