"Team","Record","NET Rank","NET Delta"
"   South Carolina  ","38-0","1",""
"   Connecticut  ","32-6","2",""
"   Texas  ","33-5","3",""
"   Stanford  ","30-6","4",""
"   Iowa  ","34-5","5",""
"   UCLA  ","27-7","6",""
"   Notre Dame  ","28-7","7",""
"   LSU  ","31-6","8",""
"   Ohio State  ","25-6","9",""
"   USC  ","29-6","10",""
"   Utah  ","21-11","11",""
"   Gonzaga  ","32-4","12",""
"   North Carolina State  ","31-7","13",""
"   Indiana  ","26-6","14",""
"   Kansas State  ","26-8","15",""
"   Colorado  ","24-10","16",""
"   Oregon State  ","27-8","17",""
"   Baylor  ","26-8","18",""
"   Virginia Tech  ","25-8","19",""
"   Duke  ","22-12","20",""
"   West Virginia  ","25-8","21",""
"   Michigan State  ","22-9","22",""
"   Louisville  ","24-10","23",""
"   Creighton  ","26-6","24",""
"   Nebraska  ","23-12","25",""
"   UNLV  ","30-3","26",""
"   Penn State  ","22-13","27",""
"   Oklahoma  ","23-10","28",""
"   Washington State  ","21-15","29",""
"   Tennessee  ","20-13","30",""
"   Maryland  ","19-14","31",""
"   Alabama  ","24-10","32",""
"   Iowa State  ","21-12","33",""
"   Princeton  ","25-5","34",""
"   Arizona  ","18-16","35",""
"   Ole Miss  ","24-9","36",""
"   North Carolina  ","20-13","37",""
"   Kansas  ","20-13","38",""
"   Middle Tennessee  ","30-5","39",""
"   Marquette  ","23-9","40",""
"   Texas A&M  ","19-13","41",""
"   Washington  ","16-15","42",""
"   Florida State  ","23-11","43",""
"   Syracuse  ","24-8","44",""
"   Auburn  ","20-12","45",""
"   TCU  ","20-12","46",""
"   Mississippi State  ","23-12","47",""
"   Michigan  ","20-14","48",""
"   Illinois  ","19-15","49",""
"   Green Bay  ","26-7","50",""
"   Miami (FL)  ","19-12","51",""
"   Villanova  ","22-13","52",""
"   Richmond  ","29-6","53",""
"   FGCU  ","27-5","54",""
"   South Dakota State  ","25-6","55",""
"   Vanderbilt  ","23-10","56",""
"   Columbia  ","23-7","57",""
"   Oklahoma State  ","14-16","58",""
"   California  ","19-15","59",""
"   Florida  ","16-16","60",""
"   Virginia  ","16-16","61",""
"   Saint Joseph's  ","28-6","62",""
"   George Mason  ","22-8","63",""
"   Seton Hall  ","17-15","64",""
"   Drake  ","29-6","65",""
"   Minnesota  ","20-16","66",""
"   Toledo  ","27-6","67",""
"   Georgia Tech  ","17-16","68",""
"   Santa Clara  ","23-9","69",""
"   VCU  ","25-6","70",""
"   Purdue  ","15-19","71",""
"   Stony Brook  ","28-5","72",""
"   Marshall  ","24-7","73",""
"   Texas Tech  ","17-16","74",""
"   Arkansas  ","18-15","75",""
"   Ball State  ","27-6","76",""
"   Eastern Washington  ","27-6","77",""
"   Belmont  ","26-9","78",""
"   Rhode Island  ","21-14","79",""
"   Boston College  ","14-19","80",""
"   Davidson  ","18-8","81",""
"   BYU  ","16-17","82",""
"   Cleveland State  ","29-6","83",""
"   Saint John's  ","18-15","84",""
"   Missouri  ","11-19","85",""
"   Georgetown  ","23-12","86",""
"   North Texas  ","22-9","87",""
"   Harvard  ","16-12","88",""
"   Fairfield  ","30-2","89",""
"   UCF  ","11-17","90",""
"   Clemson  ","12-19","91",""
"   Cincinnati  ","14-18","92",""
"   Grand Canyon  ","23-8","93",""
"   Temple  ","20-12","94",""
"   Georgia  ","12-18","95",""
"   Northern Iowa  ","16-16","96",""
"   Montana  ","22-10","97",""
"   Colorado State  ","19-11","98",""
"   Oregon  ","11-21","99",""
"   Jackson State  ","23-7","100",""
"   Houston  ","14-16","101",""
"   Rice  ","19-15","102",""
"   DePaul  ","12-20","103",""
"   Portland  ","19-13","104",""
"   James Madison  ","22-12","105",""
"   Chattanooga  ","26-5","106",""
"   Murray State  ","19-12","107",""
"   Missouri State  ","23-10","108",""
"   South Florida  ","19-14","109",""
"   North Dakota State  ","20-12","110",""
"   Arizona State  ","11-20","111",""
"   Maine  ","24-10","112",""
"   Kent State  ","19-11","113",""
"   Troy  ","22-12","114",""
"   Tulsa  ","25-10","115",""
"   East Carolina  ","19-14","116",""
"   Providence  ","13-21","117",""
"   Wyoming  ","17-15","118",""
"   Northern Arizona  ","24-10","119",""
"   California Baptist  ","28-4","120",""
"   Illinois State  ","21-12","121",""
"   Norfolk State  ","26-6","122",""
"   UC Irvine  ","23-9","123",""
"   Old Dominion  ","21-10","124",""
"   Duquesne  ","21-13","125",""
"   Lamar  ","22-7","126",""
"   Wisconsin  ","15-17","127",""
"   Memphis  ","13-17","128",""
"   Wake Forest  ","7-25","129",""
"   Boise State  ","19-14","130",""
"   Charlotte  ","16-15","131",""
"   SMU  ","14-16","132",""
"   Butler  ","14-17","133",""
"   Liberty  ","16-16","134",""
