Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,South Carolina,SEC,,35,2,70.9,50.7,20.22,,18.24,,14.56,23.90,38.46,79.41,20.44,58.97
2,NC State,ACC,,32,4,77.3,58.4,18.83,,16.28,,21.08,14.03,35.12,86.80,33.28,53.52
3,Stanford,Pac-12,,32,4,73.5,56.8,16.69,,17.99,,18.12,16.56,34.68,80.40,29.06,51.34
4,Connecticut,Big East,,30,6,73.8,54.9,18.86,,13.88,,15.67,17.07,32.74,80.00,29.98,50.02
5,Louisville,ACC,,29,5,71.8,55.6,16.15,,14.22,,14.79,15.58,30.37,78.21,31.53,46.68
6,North Carolina,ACC,,25,7,73.1,55.8,17.34,,12.22,,14.88,14.69,29.57,73.01,28.52,44.49
7,Texas,Big 12,,29,7,71.9,56.8,15.14,,14.20,,12.91,16.43,29.34,72.78,29.22,43.56
8,Baylor,Big 12,,28,7,76.5,60.2,16.31,,11.87,,17.25,10.94,28.19,79.41,35.50,43.91
9,Iowa State,Big 12,,28,7,76.4,63.7,12.63,,13.63,,17.36,8.90,26.26,81.07,41.01,40.07
10,Iowa,Big Ten,,24,8,84.2,70.2,14.00,,12.07,,25.03,1.04,26.07,83.01,44.14,38.88
11,Maryland,Big Ten,,23,9,78.8,67.2,11.59,,14.12,,20.32,5.40,25.72,81.86,42.47,39.39
12,Notre Dame,ACC,,24,9,74.3,63.3,11.00,,14.05,,15.54,9.52,25.05,75.19,37.09,38.10
13,Oregon,Pac-12,,20,12,71.3,61.3,10.06,,15.60,,13.92,11.07,24.99,68.33,33.92,34.41
14,Brigham Young,WCC,,26,4,77.1,58.3,18.80,,6.01,,14.26,10.54,24.81,68.89,34.72,34.16
15,Tennessee,SEC,,25,9,70.1,61.1,9.00,,15.52,,13.32,11.20,24.52,69.32,31.19,38.12
16,Virginia Tech,ACC,,23,10,70.8,58.4,12.39,,12.07,,13.27,11.20,24.47,78.70,39.19,39.52
17,Indiana,Big Ten,,24,9,71.3,61.8,9.55,,14.68,,12.25,11.97,24.22,73.82,35.90,37.92
18,Michigan,Big Ten,,25,7,71.5,60.4,11.06,,12.68,,11.88,11.86,23.74,73.55,36.28,37.28
19,Arizona,Pac-12,,21,8,67.2,57.4,9.83,,13.21,,9.14,13.90,23.04,70.87,35.50,35.37
20,Nebraska,Big Ten,,24,9,77.8,64.3,13.52,,9.03,,16.03,6.51,22.54,73.31,39.44,33.87
21,Louisiana State,SEC,,26,6,73.7,61.6,12.09,,10.30,,12.95,9.44,22.39,71.18,35.45,35.73
22,Ohio State,Big Ten,,25,7,78.2,65.6,12.59,,9.44,,17.43,4.60,22.03,73.62,40.71,32.91
23,UCF,AAC,,26,4,60.5,47.8,12.73,,9.22,,0.62,21.33,21.95,64.77,27.66,37.11
24,Utah,Pac-12,,21,12,75.9,68.2,7.70,,13.97,,18.62,3.05,21.67,78.05,45.84,32.22
25,Mississippi,SEC,,23,9,66.9,56.6,10.38,,11.14,,7.96,13.55,21.51,66.56,32.48,34.08
26,Georgia,SEC,,21,10,68.4,59.1,9.26,,12.14,,9.19,12.21,21.39,67.40,32.81,34.59
27,Gonzaga,WCC,,27,7,69.0,56.1,12.88,,8.09,,7.24,13.73,20.97,65.41,35.96,29.45
28,Oklahoma,Big 12,,25,9,82.6,76.9,5.74,,15.23,,24.90,-3.93,20.97,73.48,41.91,31.57
29,Colorado,Pac-12,,22,9,65.6,57.7,7.94,,12.57,,7.73,12.77,20.50,66.59,34.71,31.87
30,Arkansas,SEC,,18,14,73.6,66.5,7.06,,13.16,,15.44,4.78,20.22,73.11,40.71,32.40
31,Creighton,Big East,,23,10,74.1,64.4,9.70,,10.48,,13.35,6.82,20.18,78.96,46.35,32.61
32,Kentucky,SEC,,19,12,72.2,65.6,6.52,,13.58,,13.81,6.28,20.09,74.38,41.51,32.87
33,Kansas,Big 12,,21,10,71.8,65.2,6.58,,13.32,,12.89,7.01,19.90,68.64,37.45,31.19
34,South Dakota State,Summit,,29,9,74.8,58.4,16.39,,4.23,,10.96,8.84,19.80,72.18,41.15,31.03
35,Georgia Tech,ACC,,21,11,60.9,52.7,8.28,,11.47,,2.08,17.67,19.75,66.14,32.76,33.38
36,Kansas State,Big 12,,20,13,66.1,60.6,5.45,,14.10,,7.82,11.74,19.55,66.39,35.54,30.85
37,South Dakota,Summit,,29,6,68.9,53.1,15.80,,4.50,,4.76,14.59,19.35,65.72,34.65,31.07
38,Princeton,Ivy,,25,5,68.3,51.5,16.83,,1.84,,5.12,13.55,18.67,68.19,36.81,31.38
39,UCLA,Pac-12,,18,13,66.6,61.5,5.13,,12.96,,9.59,8.50,18.09,68.73,40.83,27.90
40,Miami (FL),ACC,,21,13,60.9,58.4,2.50,,14.22,,3.57,13.15,16.72,63.29,35.26,28.03
41,Arizona State,Pac-12,,12,14,63.3,59.9,3.38,,12.82,,5.78,10.43,16.21,62.77,38.47,24.30
42,Oregon State,Pac-12,,17,14,64.5,62.6,1.87,,14.17,,6.95,9.09,16.04,65.63,40.85,24.78
43,Boston College,ACC,,21,12,72.1,65.5,6.55,,9.35,,12.57,3.32,15.89,70.22,44.08,26.14
44,DePaul,Big East,,22,11,87.3,78.6,8.76,,6.91,,26.58,-10.91,15.67,77.76,53.48,24.28
45,Texas A&M,SEC,,14,15,69.3,67.4,1.90,,13.55,,11.82,3.63,15.45,70.35,44.09,26.25
46,Duke,ACC,,17,13,65.0,62.2,2.87,,12.42,,6.59,8.70,15.29,67.80,42.02,25.78
47,Florida State,ACC,,17,14,65.3,61.6,3.65,,11.63,,6.87,8.41,15.28,67.29,41.69,25.60
48,South Florida,AAC,,24,9,60.8,54.5,6.36,,8.82,,2.28,12.91,15.19,65.78,39.25,26.53
49,Missouri State,MVC,,25,8,64.8,53.9,10.91,,5.65,,2.85,12.33,15.18,58.12,33.94,24.17
