Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
53,Vanderbilt,SEC,,23,10,68.5,62.3,6.15,,10.27,,7.31,9.11,16.42,101.96,79.96,22.00
54,California,Pac-12,,19,15,66.2,65.3,0.85,,14.88,,8.60,7.13,15.73,105.42,83.87,21.55
55,Virginia,ACC,,16,16,72.5,69.1,3.34,,12.26,,12.93,2.67,15.60,104.25,83.78,20.46
56,Florida,SEC,,16,16,74.7,71.3,3.34,,12.01,,14.05,1.31,15.36,105.52,84.63,20.89
57,Columbia,Ivy,,23,7,75.7,63.5,12.20,,2.19,,12.69,1.70,14.39,109.62,89.84,19.79
58,Green Bay,Horizon,,27,7,73.9,58.1,15.74,,-0.81,,6.13,8.09,14.22,108.33,86.76,21.58
59,Florida Gulf Coast,A-Sun,,29,5,74.9,55.0,19.85,,-2.61,,6.19,7.90,14.08,105.72,84.80,20.91
60,Minnesota,Big Ten,,20,16,69.5,66.1,3.39,,10.64,,5.82,8.21,14.03,100.85,82.81,18.04
61,Richmond,A-10,,29,6,73.1,61.0,12.09,,1.88,,9.81,4.15,13.96,107.25,87.31,19.95
62,Seton Hall,Big East,,17,15,64.4,59.7,4.69,,8.78,,4.24,9.23,13.47,99.80,81.15,18.65
63,Purdue,Big Ten,,15,19,68.2,68.3,-0.09,,13.38,,7.43,5.86,13.29,101.15,83.78,17.37
64,South Dakota State,Summit,,27,6,73.6,60.2,13.42,,0.47,,5.43,7.75,13.18,101.40,82.64,18.76
65,Texas Tech,Big 12,,17,16,64.9,62.8,2.03,,11.03,,4.81,8.26,13.06,100.39,83.18,17.21
66,Drake,MVC,,29,6,81.2,70.0,11.23,,1.77,,14.43,-1.43,13.00,105.02,88.09,16.92
67,Arkansas,SEC,,18,15,69.5,68.8,0.64,,12.09,,9.07,3.65,12.72,99.65,82.91,16.74
