Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
27,Utah,Big 12,,,22,9,76.4,63.5,12.90,,13.20,,16.39,9.72,26.10,113.83,79.04,34.79
28,Oklahoma State,Big 12,,24,25,7,76.4,60.4,16.03,,8.95,,14.85,10.13,24.98,108.97,76.17,32.79
29,Georgia Tech,ACC,,,22,11,76.1,64.6,11.42,,13.10,,15.88,8.65,24.52,113.08,80.87,32.21
30,Indiana,Big Ten,,,20,13,69.9,64.2,5.76,,17.77,,11.74,11.78,23.52,109.50,78.26,31.24
31,Mississippi State,SEC,,,22,12,75.0,64.1,10.85,,12.58,,14.63,8.80,23.43,109.11,78.13,30.98
32,Illinois,Big Ten,,,22,10,70.3,61.7,8.66,,14.71,,11.13,12.23,23.36,110.81,78.55,32.26
33,Iowa State,Big 12,,,23,12,76.8,67.2,9.57,,13.35,,17.02,5.90,22.92,113.70,83.38,30.33
34,Oregon,Big Ten,,,20,12,68.0,63.1,4.94,,17.88,,9.79,13.03,22.82,106.26,76.03,30.22
35,Louisville,ACC,,,22,11,71.8,67.5,4.30,,18.31,,13.37,9.24,22.61,110.43,80.42,30.01
36,California,ACC,,,25,9,72.9,64.4,8.50,,14.01,,12.99,9.52,22.51,108.48,78.95,29.52
37,Minnesota,Big Ten,,,25,11,73.4,61.5,11.97,,10.06,,12.51,9.53,22.04,110.72,81.02,29.70
38,Nebraska,Big Ten,,,21,12,75.5,68.2,7.27,,14.71,,16.37,5.61,21.98,113.85,84.33,29.53
39,Creighton,Big East,,,26,7,71.7,63.6,8.06,,13.79,,13.84,8.02,21.85,114.21,83.75,30.46
40,Washington,Big Ten,,,19,14,72.1,64.4,7.73,,12.90,,11.40,9.23,20.63,112.39,84.79,27.61
41,Richmond,A-10,,,28,7,72.0,57.5,14.46,,5.20,,9.60,10.06,19.65,112.20,84.17,28.03
42,Florida,SEC,,,19,18,74.6,71.3,3.35,,14.31,,14.60,3.06,17.66,107.25,84.17,23.08
43,Virginia Tech,ACC,,,19,13,74.8,69.3,5.44,,12.11,,14.74,2.81,17.55,108.93,86.10,22.83
44,Stanford,ACC,,,16,15,72.7,69.3,3.45,,13.91,,13.20,4.16,17.36,109.23,86.44,22.79
45,Harvard,Ivy,,,24,5,68.8,52.9,15.90,,1.02,,5.38,11.53,16.91,102.89,78.59,24.30
46,South Dakota State,Summit,,23,30,4,75.7,62.4,13.26,,4.69,,10.21,6.54,16.75,109.44,86.28,23.16
47,Columbia,Ivy,,,24,7,72.6,59.2,13.42,,2.92,,11.29,5.05,16.34,109.32,86.29,23.03
48,Auburn,SEC,,,12,18,67.7,64.7,3.00,,15.84,,6.30,9.47,15.77,100.99,80.53,20.46
49,Murray State,MVC,,,25,8,86.8,72.7,14.15,,1.55,,20.84,-5.13,15.70,111.18,91.87,19.31
50,Clemson,ACC,,,14,17,66.0,64.0,1.97,,13.21,,5.47,9.71,15.18,105.60,85.35,20.25
51,Colorado,Big 12,,,21,13,68.6,64.5,4.03,,11.14,,8.60,6.57,15.17,104.69,84.00,20.69
52,George Mason,A-10,,,27,6,73.3,57.8,15.42,,0.98,,8.64,6.53,15.16,105.87,85.09,20.79
53,Nevada-Las Vegas,MWC,,,26,8,75.0,62.4,12.62,,2.52,,10.19,4.95,15.14,107.81,87.05,20.76
54,Belmont,MVC,,,26,13,71.1,63.5,7.56,,7.31,,7.39,7.49,14.87,102.05,82.18,19.87
55,Arizona,Big 12,,,19,14,67.9,63.1,4.85,,9.94,,5.36,9.43,14.79,99.03,79.64,19.39
56,Missouri,SEC,,,14,18,68.6,67.7,0.91,,13.21,,7.75,6.37,14.12,105.18,87.46,17.71
57,Marquette,Big East,,,21,11,67.1,59.2,7.88,,6.93,,4.52,8.76,13.28,97.99,80.11,17.88
58,Texas Tech,Big 12,,,19,18,63.7,63.2,0.49,,12.67,,3.14,10.03,13.16,98.50,80.93,17.57
59,Virginia,ACC,,,17,15,70.1,67.5,2.59,,10.55,,9.18,3.96,13.14,101.83,84.99,16.84
60,Middle Tennessee,CUSA,,,26,9,64.0,52.2,11.80,,1.00,,-1.48,14.28,12.80,95.66,77.72,17.94
61,Saint Joseph's,A-10,,,24,10,69.0,56.4,12.59,,1.95,,5.35,7.39,12.74,103.62,85.11,18.52
62,Penn State,Big Ten,,,10,19,72.1,71.7,0.45,,12.27,,11.98,0.74,12.72,102.12,86.51,15.60
63,Boston College,ACC,,,16,18,73.1,70.9,2.18,,10.47,,12.85,-0.20,12.65,104.00,87.89,16.11
64,Princeton,Ivy,,,21,8,66.7,57.2,9.48,,3.14,,4.38,8.24,12.62,104.35,85.76,18.59
65,Grand Canyon,WAC,,,32,3,76.7,57.2,19.51,,-4.59,,7.01,5.37,12.38,102.75,85.89,16.87
66,Villanova,Big East,,,21,15,63.8,64.5,-0.69,,12.93,,5.59,6.64,12.23,101.88,85.63,16.25
67,Kansas,Big 12,,,16,14,65.7,66.8,-1.07,,13.21,,5.61,6.54,12.14,103.02,87.00,16.02
68,Montana State,Big Sky,,,30,4,71.9,55.9,15.94,,-1.73,,4.69,7.36,12.05,98.84,82.88,15.96
69,Missouri State,MVC,,,26,9,73.8,63.7,10.09,,1.77,,7.57,4.29,11.85,101.17,85.69,15.49
70,James Madison,Sun Belt,,,30,6,73.1,63.5,9.56,,2.20,,8.17,3.59,11.76,99.81,84.21,15.60
71,Syracuse,ACC,,,12,18,70.5,71.4,-0.90,,12.38,,9.92,1.56,11.48,102.92,88.07,14.85
72,Drake,MVC,,,22,12,78.0,70.0,7.97,,3.48,,12.92,-1.47,11.45,106.27,91.15,15.12
73,South Florida,AAC,,,23,11,66.0,61.6,4.35,,7.00,,3.89,7.46,11.35,101.60,86.43,15.17
74,St. John's (NY),Big East,,,16,15,60.5,56.6,3.87,,7.43,,0.78,10.52,11.30,100.64,84.30,16.34
75,Seton Hall,Big East,,,23,10,62.3,58.9,3.39,,7.83,,2.07,9.15,11.23,97.93,82.48,15.45
76,Ball State,MAC,,,27,8,72.5,60.5,12.06,,1.06,,6.13,5.08,11.21,99.26,84.84,14.42
77,Miami (FL),ACC,,,14,15,69.2,70.8,-1.59,,12.35,,7.98,2.78,10.77,103.42,89.77,13.65
78,Brigham Young,Big 12,,,13,17,67.9,68.6,-0.70,,11.42,,7.72,3.01,10.72,100.19,85.83,14.37
79,Florida Gulf Coast,A-Sun,,,30,4,71.7,54.0,17.74,,-5.26,,1.99,8.53,10.52,100.35,84.87,15.48
80,Cincinnati,Big 12,,,15,14,65.6,67.0,-1.45,,11.91,,5.66,4.80,10.46,100.14,85.96,14.18
81,Fairfield,MAAC,,,28,5,71.9,55.0,16.94,,-5.72,,4.59,5.70,10.28,100.90,86.30,14.59
82,Liberty,CUSA,,,26,7,72.1,60.2,11.85,,1.41,,6.14,3.66,9.80,103.13,89.31,13.83
83,UTSA,AAC,,,26,5,66.0,56.5,9.55,,-0.10,,1.00,8.45,9.45,97.45,84.33,13.13
84,Georgia,SEC,,,13,19,63.8,68.2,-4.31,,13.65,,2.96,6.38,9.33,97.31,86.28,11.03
85,Northern Iowa,MVC,,,17,17,74.1,69.4,4.65,,5.74,,9.35,-0.13,9.23,102.25,90.44,11.81
86,Portland,WCC,,,31,5,75.7,63.4,12.36,,-1.72,,9.80,-0.72,9.08,101.96,90.16,11.80
87,Wyoming,MWC,,,22,12,65.1,59.0,6.15,,3.45,,-0.18,8.97,8.79,98.84,86.34,12.50
88,Texas A&M,SEC,,,10,19,61.5,68.9,-7.41,,16.08,,2.08,6.60,8.67,96.41,86.08,10.33
89,Green Bay,Horizon,,,29,6,68.3,56.5,11.86,,-1.99,,0.83,7.76,8.59,102.41,88.87,13.54
90,Wisconsin,Big Ten,,,13,17,65.5,71.7,-6.17,,14.66,,6.51,1.98,8.49,103.14,92.80,10.34
91,Norfolk State,MEAC,,,30,5,74.3,56.6,17.63,,-7.18,,4.39,3.95,8.34,96.74,86.25,10.49
92,Wake Forest,ACC,,,9,20,61.6,65.9,-4.31,,12.46,,1.46,6.69,8.15,95.07,84.67,10.40
93,Rutgers,Big Ten,,,13,20,67.8,71.2,-3.39,,11.20,,7.05,0.76,7.81,98.65,89.23,9.43
94,Southern Methodist,ACC,,,10,20,64.6,68.7,-4.13,,11.69,,3.82,3.74,7.55,96.56,87.25,9.31
95,Gonzaga,WCC,,,24,11,68.4,64.4,4.00,,3.54,,5.02,2.51,7.54,101.46,91.39,10.07
96,Northwestern,Big Ten,,,9,18,68.2,74.7,-6.56,,14.00,,8.71,-1.27,7.44,99.43,89.86,9.57
97,Colorado State,MWC,,,22,10,68.5,60.4,8.03,,1.29,,2.78,4.51,7.29,101.14,90.72,10.41
98,Northern Arizona,Big Sky,,,27,8,79.3,71.7,7.60,,0.26,,13.91,-6.80,7.12,102.01,93.43,8.58
99,Davidson,A-10,,,19,14,62.7,57.7,5.00,,2.93,,-1.20,8.31,7.11,94.86,85.11,9.74
100,Temple,AAC,,,20,11,66.7,62.5,4.19,,2.87,,3.61,3.45,7.07,93.50,84.71,8.79
101,Purdue Fort Wayne,Horizon,,,27,9,76.0,60.3,15.69,,-5.38,,6.19,0.72,6.92,99.31,90.03,9.28
102,North Texas,AAC,,,25,9,69.9,62.7,7.21,,-0.59,,3.83,2.79,6.62,93.71,85.71,8.00
103,Georgetown,Big East,,,12,19,62.2,64.0,-1.74,,10.08,,2.68,3.70,6.38,99.53,91.20,8.34
104,Oral Roberts,Summit,,,24,9,82.9,73.8,9.12,,1.11,,14.03,-7.75,6.28,101.19,93.67,7.52
105,Stephen F. Austin,Southland,,,29,6,77.2,62.8,14.37,,-4.99,,9.49,-3.60,5.89,100.05,92.47,7.58
106,UCF,Big 12,,,12,18,67.7,72.5,-4.87,,10.76,,6.73,-0.84,5.89,99.00,91.27,7.72
107,Arizona State,Big 12,,,10,22,70.3,76.9,-6.56,,12.36,,10.81,-5.02,5.80,101.23,93.89,7.34
108,Buffalo,MAC,,,30,7,73.9,61.3,12.65,,-4.78,,4.44,1.32,5.76,95.51,88.49,7.02
109,College of Charleston,CAA,,,25,8,74.7,57.8,16.94,,-8.67,,5.00,0.74,5.74,95.41,88.57,6.84
110,San Diego State,MWC,,,25,10,68.8,61.6,7.17,,0.90,,2.41,3.09,5.50,96.64,89.00,7.64
111,Purdue,Big Ten,,,10,19,63.4,75.3,-11.86,,17.31,,4.63,0.82,5.44,97.22,91.41,5.80
112,Butler,Big East,,,16,18,62.1,63.6,-1.56,,6.87,,0.76,4.55,5.31,97.79,91.07,6.72
113,Pittsburgh,ACC,,,13,19,62.5,67.0,-4.53,,9.82,,1.29,4.00,5.29,91.82,85.45,6.37
114,Rice,AAC,,,17,17,65.9,62.9,3.03,,2.13,,2.01,3.14,5.15,94.17,87.59,6.59
115,Western Kentucky,CUSA,,,23,9,72.7,63.5,9.22,,-2.04,,6.30,-1.24,5.06,101.22,94.60,6.62
116,Arkansas,SEC,,,10,22,68.2,78.3,-10.09,,15.13,,7.98,-2.94,5.04,98.99,92.63,6.36
117,DePaul,Big East,,,13,19,65.2,70.4,-5.22,,9.99,,6.30,-1.54,4.77,97.13,90.52,6.61
118,Troy,Sun Belt,,,24,14,80.1,73.5,6.61,,-0.34,,13.04,-8.33,4.72,98.57,93.06,5.51
119,Illinois State,MVC,,,24,13,76.0,68.9,7.05,,-1.37,,7.51,-3.02,4.49,104.45,98.79,5.66
120,Tulane,AAC,,,17,13,68.3,65.1,3.27,,1.17,,3.37,1.06,4.43,91.50,86.31,5.19
121,Rhode Island,A-10,,,17,16,60.2,55.2,5.00,,-0.58,,-3.56,7.98,4.42,94.02,88.06,5.96
122,Vermont,AEC,,,21,13,60.9,52.9,8.06,,-4.39,,-3.45,7.84,4.40,97.89,90.28,7.61
123,Kent State,MAC,,,21,12,73.1,63.3,9.76,,-1.13,,3.65,0.65,4.30,96.63,91.25,5.39
124,Lamar,Southland,,,22,8,67.5,56.1,11.40,,-4.44,,-0.90,5.18,4.28,95.34,88.58,6.75
125,Washington State,WCC,,,21,14,66.8,64.6,2.17,,2.83,,2.68,1.55,4.24,96.24,91.07,5.17
126,Oregon State,WCC,,,19,16,62.4,61.5,0.83,,4.09,,-1.76,5.88,4.12,93.29,87.95,5.34
127,Providence,Big East,,,13,19,56.2,60.0,-3.88,,9.08,,-3.84,7.89,4.05,90.55,85.74,4.81
128,Cleveland State,Horizon,,,27,10,74.5,61.2,13.35,,-5.90,,4.14,-0.37,3.77,100.28,95.02,5.26
129,Coastal Carolina,Sun Belt,,,23,9,74.3,64.8,9.59,,-3.79,,5.78,-2.04,3.74,95.77,91.82,3.95
130,Duquesne,A-10,,,21,13,71.9,65.5,6.47,,-1.75,,6.82,-3.12,3.70,95.87,91.48,4.39
131,Southeastern Louisiana,Southland,,,26,6,64.8,53.0,11.88,,-6.35,,-3.44,7.06,3.62,92.20,86.61,5.59
132,Toledo,MAC,,,24,9,69.0,63.3,5.67,,-0.02,,0.55,2.65,3.20,95.82,91.95,3.87
133,Illinois-Chicago,MVC,,,15,18,66.3,63.5,2.79,,2.01,,-1.87,4.87,3.01,94.32,91.15,3.17
134,Quinnipiac,MAAC,,,28,5,67.6,57.7,9.91,,-7.15,,1.33,1.43,2.76,97.91,93.33,4.58
135,East Carolina,AAC,,,17,15,62.8,61.6,1.19,,1.53,,-1.50,4.22,2.71,89.33,86.23,3.10
136,San Francisco,WCC,,,15,16,65.2,62.9,2.26,,0.26,,0.18,2.34,2.52,92.20,89.14,3.06
137,North Dakota State,Summit,,,21,12,69.8,65.3,4.45,,-0.93,,1.37,0.92,2.29,92.98,90.12,2.86
138,Boise State,MWC,,,18,15,69.5,65.9,3.58,,1.09,,3.28,-1.03,2.25,95.24,93.07,2.17
139,Tulsa,AAC,,,17,15,67.4,65.3,2.09,,0.11,,1.31,0.90,2.21,89.49,87.24,2.25
140,Lehigh,Patriot,,,27,7,68.4,58.2,10.12,,-6.75,,1.63,0.26,1.89,94.87,92.35,2.52
141,Bowling Green State,MAC,,,18,13,71.7,68.1,3.65,,-2.05,,5.06,-3.46,1.60,99.91,98.13,1.78
142,New Mexico State,CUSA,,,18,16,64.8,63.6,1.26,,1.95,,-0.02,1.19,1.17,93.56,92.83,0.74
143,New Mexico,MWC,,,18,14,70.4,68.6,1.88,,0.10,,4.75,-3.66,1.10,94.51,93.55,0.96
144,Houston,Big 12,,,5,25,58.6,68.5,-9.90,,10.93,,-1.79,2.82,1.03,90.41,90.25,0.17
145,Massachusetts,A-10,,,17,15,64.3,58.7,5.66,,-4.62,,-1.37,2.40,1.03,90.60,89.11,1.49
146,Albany (NY),AEC,,,26,7,63.1,53.6,9.48,,-7.43,,-3.80,4.65,0.85,95.47,93.66,1.82
147,Arkansas State,Sun Belt,,,21,11,72.1,67.6,4.44,,-3.01,,4.49,-3.67,0.83,91.68,91.62,0.07
148,Tennessee Tech,OVC,,,26,6,71.3,63.5,7.75,,-5.87,,2.40,-1.73,0.67,95.44,94.51,0.93
149,Miami (OH),MAC,,,19,12,66.5,59.1,7.32,,-4.22,,-2.81,3.42,0.61,87.91,87.73,0.17
150,Virginia Commonwealth,A-10,,,12,19,58.1,56.5,1.61,,-1.22,,-6.58,6.98,0.40,88.86,88.86,0.00
151,Hawaii,Big West,,,22,10,59.3,53.1,6.16,,-5.94,,-7.57,7.79,0.22,85.93,85.67,0.27
152,UC Davis,Big West,,,21,12,66.5,55.8,10.73,,-6.65,,-2.24,2.40,0.16,88.19,88.31,-0.11
153,Abilene Christian,WAC,,,22,13,71.5,61.8,9.74,,-5.04,,1.12,-1.03,0.09,93.95,94.38,-0.43
154,Dayton,A-10,,,18,13,63.8,62.5,1.35,,-1.34,,-0.88,0.90,0.02,89.87,90.40,-0.53
155,Idaho,Big Sky,,,18,12,65.9,59.9,5.93,,-4.27,,-2.98,2.74,-0.23,87.00,87.73,-0.73
156,North Carolina A&T,CAA,,,19,12,63.5,55.5,8.00,,-5.95,,-5.39,5.10,-0.30,89.26,89.88,-0.62
157,Old Dominion,Sun Belt,,,18,16,67.0,65.6,1.41,,-0.71,,0.20,-0.57,-0.37,91.09,92.08,-0.99
158,Southern Indiana,OVC,,,23,13,71.3,63.4,7.89,,-5.52,,0.91,-1.55,-0.64,93.61,94.32,-0.71
159,UNC Greensboro,Southern,,,25,7,63.8,52.4,11.38,,-6.20,,-6.77,5.85,-0.92,90.03,90.45,-0.41
160,Pennsylvania,Ivy,,,15,13,65.3,61.6,3.68,,-1.66,,-1.75,0.74,-1.01,91.79,93.79,-2.00
161,Colgate,Patriot,,,23,10,68.1,57.8,10.27,,-9.86,,-0.68,-0.38,-1.05,95.64,97.38,-1.74
162,Louisiana,Sun Belt,,,13,16,62.5,61.7,0.79,,-1.17,,-5.37,4.16,-1.21,86.63,88.65,-2.01
163,UC Irvine,Big West,,,21,10,60.1,54.3,5.81,,-7.02,,-6.62,5.40,-1.22,86.85,88.54,-1.68
164,Air Force,MWC,,,18,15,66.4,63.7,2.70,,-2.71,,-1.04,-0.38,-1.42,92.16,94.59,-2.44
165,Pacific,WCC,,,15,19,65.1,66.1,-0.97,,0.47,,-0.32,-1.42,-1.75,85.34,88.10,-2.76
166,Tarleton State,WAC,,,20,14,63.9,58.5,5.41,,-4.48,,-5.28,3.49,-1.79,91.10,93.08,-1.98
167,Campbell,CAA,,,22,13,64.9,58.5,6.34,,-5.92,,-3.59,1.70,-1.89,90.93,93.98,-3.05
168,Fresno State,MWC,,,19,15,63.3,64.6,-1.26,,0.28,,-3.31,0.71,-2.60,92.41,96.95,-4.53
169,Wichita State,AAC,,,10,22,62.2,67.6,-5.38,,3.36,,-2.27,-0.37,-2.64,86.29,90.44,-4.16
170,UT Arlington,WAC,,,18,14,72.2,67.5,4.72,,-3.30,,2.75,-5.42,-2.67,89.97,93.71,-3.74
171,UAB,AAC,,,16,16,67.0,67.5,-0.44,,-1.31,,1.34,-4.10,-2.76,91.67,95.82,-4.15
172,Eastern Illinois,OVC,,,18,12,62.7,61.0,1.70,,-4.51,,-6.58,3.78,-2.81,86.17,90.14,-3.97
173,Montana,Big Sky,,,14,18,66.4,68.7,-2.25,,1.65,,0.30,-3.15,-2.85,95.55,100.12,-4.57
174,Lindenwood,OVC,,,23,11,69.1,65.1,4.00,,-6.26,,-0.86,-2.07,-2.93,92.83,96.74,-3.91
175,Holy Cross,Patriot,,,19,12,60.7,57.4,3.32,,-6.32,,-5.79,2.80,-3.00,86.80,90.79,-3.98
176,Louisiana Tech,CUSA,,,18,16,66.4,65.4,1.00,,-0.66,,-0.84,-2.35,-3.19,90.16,95.32,-5.15
177,UC San Diego,Big West,,,20,16,63.8,58.3,5.56,,-6.94,,-3.39,0.10,-3.29,85.93,90.69,-4.76
178,Army,Patriot,,,25,8,62.9,56.6,6.33,,-8.48,,-5.40,1.91,-3.48,89.02,93.55,-4.53
179,Eastern Kentucky,A-Sun,,,21,12,72.5,65.9,6.58,,-7.34,,0.90,-4.62,-3.72,90.06,95.63,-5.57
180,Fordham,A-10,,,15,15,60.0,61.1,-1.13,,-2.94,,-4.70,0.86,-3.84,84.95,91.67,-6.72
181,Brown,Ivy,,,12,15,60.1,62.6,-2.52,,0.92,,-4.07,0.18,-3.89,87.36,93.85,-6.49
182,Saint Mary's (CA),WCC,,,14,17,62.1,64.2,-2.10,,-1.84,,-3.79,-0.15,-3.94,89.02,95.19,-6.17
183,Chattanooga,Southern,,,17,15,61.1,56.6,4.50,,-4.90,,-8.73,4.76,-3.97,85.54,91.12,-5.58
184,Marshall,Sun Belt,,,15,20,67.7,67.9,-0.29,,-0.95,,-0.42,-3.74,-4.16,91.76,97.94,-6.19
185,Central Arkansas,A-Sun,,,23,10,68.7,62.6,6.03,,-5.86,,-3.84,-0.34,-4.18,90.22,95.90,-5.67
186,Howard,MEAC,,,22,12,65.7,60.5,5.18,,-9.36,,-3.05,-1.13,-4.18,87.20,93.54,-6.34
187,St. Thomas,Summit,,,16,14,71.3,69.2,2.17,,-2.77,,1.41,-5.68,-4.27,92.98,99.26,-6.28
188,Utah Valley,WAC,,,19,13,65.8,61.6,4.16,,-5.54,,-4.46,0.16,-4.30,84.52,91.09,-6.57
189,Wofford,Southern,,,17,12,66.5,59.9,6.59,,-3.41,,-2.22,-2.18,-4.41,89.65,95.39,-5.74
190,Bradley,MVC,,,14,19,58.5,60.3,-1.79,,-1.41,,-10.42,5.99,-4.44,83.16,89.98,-6.81
191,Saint Louis,A-10,,,15,19,66.1,72.4,-6.29,,1.74,,1.86,-6.41,-4.56,89.45,95.66,-6.22
192,Santa Clara,WCC,,,14,17,62.2,64.5,-2.32,,0.70,,-2.82,-1.90,-4.72,88.85,96.53,-7.69
193,Southern,SWAC,,,21,15,58.8,57.7,1.14,,-3.25,,-9.82,5.10,-4.72,83.79,90.60,-6.81
194,Memphis,AAC,,,7,23,68.9,77.4,-8.47,,3.68,,5.02,-9.81,-4.79,94.48,101.20,-6.72
195,Central Michigan,MAC,,,14,17,64.4,67.1,-2.68,,-1.68,,-2.06,-2.76,-4.82,86.53,93.34,-6.81
196,Northern Colorado,Big Sky,,,14,17,63.7,61.1,2.61,,-1.98,,-6.75,1.83,-4.91,86.45,94.43,-7.98
197,Bucknell,Patriot,,,17,14,60.7,58.7,2.06,,-7.00,,-6.12,1.19,-4.93,89.08,95.81,-6.73
198,Idaho State,Big Sky,,,14,17,61.9,65.0,-3.06,,0.27,,-4.13,-0.95,-5.08,88.15,95.73,-7.58
199,Nevada,MWC,,,11,21,62.3,65.8,-3.41,,0.65,,-4.62,-0.46,-5.08,88.20,96.33,-8.13
200,FDU,NEC,,,29,4,67.0,55.2,11.79,,-15.70,,-6.56,1.44,-5.12,91.82,97.62,-5.80
201,East Tennessee State,Southern,,,17,13,59.9,55.8,4.03,,-6.72,,-10.52,5.33,-5.18,83.84,90.59,-6.76
202,Lipscomb,A-Sun,,,20,12,74.5,68.9,5.66,,-7.34,,2.38,-7.85,-5.47,95.70,103.45,-7.75
203,Georgia Southern,Sun Belt,,,16,18,66.5,65.7,0.76,,-5.40,,-2.12,-3.47,-5.58,88.16,96.05,-7.89
204,Xavier,Big East,,,7,24,51.1,62.5,-11.32,,5.68,,-10.73,5.09,-5.64,80.41,90.31,-9.90
205,Louisiana-Monroe,Sun Belt,,,11,19,67.6,69.9,-2.33,,-0.49,,-0.35,-5.35,-5.70,90.58,98.56,-7.98
206,Tennessee-Martin,OVC,,,13,19,67.4,68.5,-1.13,,-3.12,,-0.92,-4.92,-5.83,89.33,97.18,-7.85
207,Eastern Washington,Big Sky,,,11,20,64.9,66.2,-1.35,,-0.93,,-1.98,-3.88,-5.86,85.01,93.75,-8.74
208,Georgia State,Sun Belt,,,17,16,65.2,67.5,-2.39,,-0.97,,-3.77,-2.32,-6.10,84.28,92.95,-8.67
209,Navy,Patriot,,,19,12,66.0,61.1,4.87,,-9.20,,-3.13,-2.97,-6.10,84.63,93.62,-8.99
210,Valparaiso,MVC,,,13,19,64.1,67.7,-3.66,,0.19,,-3.42,-2.70,-6.11,86.73,95.45,-8.72
211,Loyola Marymount,WCC,,,14,16,63.1,64.3,-1.17,,-1.37,,-4.49,-1.63,-6.12,89.62,99.39,-9.76
212,Coppin State,MEAC,,,19,15,63.1,63.5,-0.44,,-5.75,,-5.67,-0.59,-6.26,85.91,94.98,-9.07
213,High Point,Big South,,,21,12,67.1,58.5,8.64,,-12.81,,-5.04,-1.45,-6.49,86.11,95.43,-9.32
214,Florida Atlantic,AAC,,,11,21,60.2,65.8,-5.63,,-0.89,,-5.41,-1.10,-6.51,84.85,94.89,-10.04
215,UC Santa Barbara,Big West,,,18,13,63.1,58.6,4.42,,-8.47,,-5.77,-0.74,-6.51,90.52,99.87,-9.36
216,Sacramento State,Big Sky,,,15,18,63.3,63.5,-0.27,,-4.31,,-6.15,-0.38,-6.53,83.96,93.35,-9.39
217,Drexel,CAA,,,17,13,59.4,59.0,0.37,,-5.53,,-8.01,1.44,-6.57,86.75,96.18,-9.43
218,Nicholls State,Southland,,,17,14,60.7,59.5,1.23,,-7.32,,-7.43,0.85,-6.59,85.02,94.46,-9.44
219,Kennesaw State,CUSA,,,13,18,62.2,64.5,-2.26,,-1.92,,-3.74,-2.98,-6.72,84.42,94.34,-9.92
220,Mount St. Mary's,MAAC,,,15,16,64.0,62.9,1.03,,-7.78,,-3.60,-3.15,-6.75,84.81,94.87,-10.06
