Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Stanford,Pac-12,,31,2,77.7,53.7,24.00,,18.26,,22.31,19.95,42.26,90.89,30.33,60.56
2,Connecticut,Big East,,28,2,81.9,52.6,29.30,,9.57,,19.53,19.35,38.87,93.31,37.70,55.61
3,Baylor,Big 12,,28,3,81.9,55.3,26.58,,11.74,,20.82,17.50,38.32,82.76,30.79,51.97
4,Maryland,Big Ten,,26,3,90.8,69.0,21.79,,14.54,,29.39,6.95,36.34,102.79,50.93,51.86
5,South Carolina,SEC,,26,5,75.4,58.1,17.29,,17.55,,16.83,18.01,34.84,83.48,32.82,50.67
6,UCLA,Pac-12,,17,6,71.4,58.3,13.13,,18.84,,16.72,15.25,31.97,82.05,36.01,46.03
7,Oregon,Pac-12,,15,9,70.9,59.6,11.29,,19.72,,15.05,15.96,31.01,81.81,37.75,44.06
8,Arizona,Pac-12,,21,6,66.3,55.3,11.07,,19.88,,11.59,19.37,30.95,75.80,30.48,45.32
9,Indiana,Big Ten,,21,6,74.4,59.9,14.52,,15.64,,13.86,16.30,30.16,84.96,40.46,44.51
10,Louisville,ACC,,26,4,76.8,60.7,16.07,,13.25,,16.47,12.85,29.32,89.65,45.86,43.79
11,NC State,ACC,,22,3,77.2,62.1,15.08,,12.71,,16.53,11.26,27.79,88.11,45.86,42.25
12,Michigan,Big Ten,,16,6,75.3,64.9,10.45,,16.75,,15.88,11.33,27.21,87.69,47.96,39.73
13,Rutgers,Big Ten,,14,5,75.1,57.7,17.37,,9.34,,11.88,14.83,26.70,89.46,48.90,40.56
14,Ohio State,Big Ten,,13,7,80.2,70.1,10.15,,15.34,,19.30,6.19,25.49,86.03,49.35,36.68
15,Iowa,Big Ten,,20,10,86.1,80.3,5.80,,18.51,,27.18,-2.88,24.31,98.59,62.91,35.68
16,Georgia,SEC,,21,7,71.3,60.5,10.82,,13.27,,11.51,12.58,24.09,74.71,38.10,36.60
17,Oregon State,Pac-12,,12,8,71.3,68.1,3.20,,22.35,,16.43,7.50,23.93,77.08,44.08,33.00
18,Tennessee,SEC,,17,8,71.9,62.5,9.36,,14.44,,12.95,10.84,23.80,79.11,42.73,36.38
19,Texas A&M,SEC,,25,3,75.2,62.6,12.61,,11.10,,13.35,10.36,23.70,79.50,42.27,37.23
20,Northwestern,Big Ten,,16,9,67.4,61.1,6.24,,17.05,,7.54,15.75,23.29,78.01,43.46,34.55
