"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a7296567d","2695432-105097-11","2025-11-13T20:36:20Z","41098","2695432","13","11","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","1","1","549.6","600","00:50","00:00","50.4","9","9","12","8","8","11","3","3","0","1","1","0","0","1","1","0","0","1","0","0","1","0","1","2","1","2","0","0","1","0","0","0","0","0","00:50","1","0","","1","","1","2.4","1.7","3","1.25","1.75","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72965ed0","2695432-105097-12","2025-11-13T20:36:20Z","41098","2695432","14","12","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","600","673","10:00","08:47","73","12","12","12","11","11","14","0","3","-3","0","2","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","1","1","0","1","0","0","1","0","01:13","1","1","0","0","","1.93","1","1.465","0","3","-3","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964f6a","2695432-105097-13","2025-11-13T20:36:20Z","41098","2695432","15","13","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","2","2","673","763","08:47","07:17","90","12","12","14","14","14","16","2","2","0","1","3","1","2","0","1","0","0","1","0","0","2","0","1","3","1","3","0","0","0","0","0","0","2","0","01:30","2","2","0.5","0","","3","3","3","0.6667","0.6667","0","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.5","0.34","0.67"
"693fd810a9a4229a729648fa","2695432-105097-14","2025-11-13T20:36:20Z","41098","2695432","16","14","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2481512-2118064","2","2","763","818","07:17","06:22","55","14","14","14","16","16","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","00:55","0","1","","0","","1","1","1","0","0","0","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a729644fb","2695432-105097-15","2025-11-13T20:36:20Z","41098","2695432","17","15","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","818","820","06:22","06:20","2","14","14","14","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","00:02","0","1","","","","0","0","0","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964eab","2695432-105097-16","2025-11-13T20:36:20Z","41098","2695432","19","16","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","820","844","06:20","05:56","24","14","14","14","16","16","17","0","1","-1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","1","0","0","1","00:24","0","1","","","","1","1.8","1.4","0","0.5556","-0.5556","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964e39","2695432-105097-17","2025-11-13T20:36:20Z","41098","2695432","20","17","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","2","2","844","1018","05:56","03:02","174","14","14","19","17","17","19","5","2","3","2","2","1","1","1","1","0","0","2","1","2","1","0","1","2","1","2","0","0","0","0","2","0","0","0","02:54","1","0","1","1","","4","4","4","1.25","0.5","0.75","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.8","0.7","0.77"
"693fd810a9a4229a72965b24","2695432-105097-18","2025-11-13T20:36:20Z","41098","2695432","21","18","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","1018","1054","03:02","02:26","36","19","19","20","19","19","21","1","2","-1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","00:36","0","0","","","1","1.4","1","1.2","0.7143","2","-1.2857","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964737","2695432-105097-19","2025-11-13T20:36:20Z","41098","2695432","22","19","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-1688590-2118064","2","2","1054","1090","02:26","01:50","36","20","20","20","21","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0","1","00:36","1","1","","","","0","0.93","0.465","","0","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964bbc","2695432-105097-20","2025-11-13T20:36:20Z","41098","2695432","23","20","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2118064","2","2","1090","1142.9","01:50","00:57","52.900000000000006","20","20","22","21","21","21","2","0","2","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","00:53","1","0","1","","","1","1","1","2","0","2","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
