"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a72964df5","2695937-105097-14","2025-11-30T03:00:17Z","41098","2695937","15","14","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-2118064-2283300","2","2","869","1108","05:31","01:32","239","31","31","34","27","27","31","3","4","-1","1","4","1","4","0","0","1","2","0","2","2","1","1","2","4","2","4","0","0","0","1","4","2","2","0","03:59","2","2","0.25","","0.5","5.73","8","6.865","0.5236","0.5","0.0236","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2118064","Maya Hernandez","2283300","Ana Milanovic","0","0.51","0.26","0.77"
"693fd810a9a4229a7296465b","2695937-105097-15","2025-11-30T03:00:17Z","41098","2695937","16","15","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2283300","2","2","1108","1108","01:32","01:32","0","34","34","36","31","31","31","2","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:00","0","0","","","1","0.8","0","0.4","2.5","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a72964af9","2695937-105097-16","2025-11-30T03:00:17Z","41098","2695937","17","16","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","2","2","1108","1200","01:32","00:00","92","36","36","39","31","31","31","3","0","3","1","1","0","0","1","1","0","0","1","0","1","3","0","0","3","0","2","0","1","0","0","0","0","0","0","01:32","3","0","","1","","2","3","2.5","1.5","0","1.5","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.96","0.83","1"
"693fd810a9a4229a72965579","2695937-105097-17","2025-11-30T03:00:17Z","41098","2695937","18","17","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","3","3","1200","1331","10:00","07:49","131","39","39","41","31","31","33","2","2","0","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","2","0","1","0","1","1","02:11","0","2","0.5","","","2","1.73","1.865","1","1.1561","-0.1561","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964ebb","2695937-105097-18","2025-11-30T03:00:17Z","41098","2695937","19","18","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","3","3","1331","1386","07:49","06:54","55","41","41","44","33","33","34","3","1","2","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","2","0","1","1","0","0","00:55","0","0","","1","","2","1.8","1.9","1.5","0.5556","0.9444","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72964899","2695937-105097-19","2025-11-30T03:00:17Z","41098","2695937","20","19","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","3","3","1386","1426","06:54","06:14","40","44","44","44","34","34","34","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","00:40","1","1","0","","","1","1","1","0","0","0","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72964e9f","2695937-105097-20","2025-11-30T03:00:17Z","41098","2695937","21","20","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2118064-2283300","3","3","1426","1470","06:14","05:30","44","44","44","44","34","34","35","0","1","-1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","2","0","0","1","0","0","00:44","1","0","","","","1","1.8","1.4","0","0.5556","-0.5556","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2118064","Maya Hernandez","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a72964591","2695937-105097-21","2025-11-30T03:00:17Z","41098","2695937","22","21","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2481512-2283300","3","3","1470","1506","05:30","04:54","36","44","44","44","35","35","35","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","00:36","0","1","0","","","1","0","0.5","0","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a729656ac","2695937-105097-22","2025-11-30T03:00:17Z","41098","2695937","23","22","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291264-2481512-2283300","3","3","1506","1668","04:54","02:12","162","44","44","48","35","35","40","4","5","-1","2","6","2","4","0","2","0","0","1","0","0","1","2","2","5","1","3","1","2","0","1","1","0","2","2","02:42","3","4","0.5","0","","3.86","3.86","3.86","1.0363","1.2953","-0.2591","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","2481512","Kayla Jones","2283300","Ana Milanovic","0","0.37","0.6","0.26"
"693fd810a9a4229a7296564e","2695937-105097-23","2025-11-30T03:00:17Z","41098","2695937","24","23","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","3","3","1668","1800","02:12","00:00","131.99999999999997","48","48","54","40","40","46","6","6","0","2","3","1","2","1","1","1","2","2","0","1","2","0","2","3","1","2","1","1","2","2","1","0","2","0","02:12","2","2","0.5","1","0.5","4.8","4.8","4.8","1.25","1.25","0","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.5","0.7","0.29"
"693fd810a9a4229a7296519d","2695937-105097-24","2025-11-30T03:00:17Z","41098","2695937","25","24","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","4","4","1800","1994","10:00","06:46","194","54","54","59","46","46","50","5","4","1","2","5","1","4","1","1","0","0","2","0","2","3","1","2","7","2","7","0","0","0","1","0","0","2","2","03:14","4","4","0.25","1","","5.93","4.86","5.395","0.8432","0.823","0.0201","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.51","0.47","0.52"
"693fd810a9a4229a72965830","2695937-105097-25","2025-11-30T03:00:17Z","41098","2695937","26","25","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","4","4","1994","2087","06:46","05:13","93","59","59","61","50","50","56","2","6","-4","1","2","1","1","0","1","0","0","0","0","1","0","0","3","3","3","3","0","0","0","0","1","1","1","0","01:33","0","1","1","0","","3","4","3.5","0.6667","1.5","-0.8333","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.16","0.34","0.16"
"693fd810a9a4229a729657a8","2695937-105097-26","2025-11-30T03:00:17Z","41098","2695937","27","26","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2283300","4","4","2087","2118","05:13","04:42","31","61","61","61","56","56","58","0","2","-2","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1","1","0","0","1","0","0","1","0","0","00:31","1","0","","","","2","1.4","1.7","0","1.4286","-1.4286","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a72964897","2695937-105097-27","2025-11-30T03:00:17Z","41098","2695937","28","27","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291264-2481512-2283300","4","4","2118","2152","04:42","04:08","34","61","61","61","58","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:34","0","0","","","","1","1","1","0","0","0","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","2481512","Kayla Jones","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a72964d50","2695937-105097-28","2025-11-30T03:00:17Z","41098","2695937","29","28","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291264-1688590-2118064","4","4","2152","2400","04:08","00:00","248","61","61","73","58","58","62","12","4","8","1","3","1","3","0","0","10","12","0","1","1","6","0","1","9","1","8","0","1","2","1","3","0","2","2","04:08","6","4","0.3333","","0.8333","8.8","10.66","9.73","1.3636","0.3752","0.9884","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.86","0.77","0.82"
