,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
818,Sadie Shores,Tulane Green Wave,AAC,70.0,24.26,30.0,92.12,73.12,0.45,-0.6,1.05,-0.24,0.09,-0.33,16.0,9.0,0.53,0.3,6.7,0.721,0.75,87.5
819,Saga Ukkonen,Fresno State Bulldogs,MWC,69.0,30.15,32.0,103.59,91.0,1.02,0.79,0.23,-0.93,2.03,-2.96,20.0,4.0,0.62,0.12,6.1,0.91,0.97,99.8
820,Saige Stahl,Indiana State Sycamores,MVC,73.0,21.25,26.0,102.63,116.64,1.84,1.65,0.19,-2.49,-0.3,-2.18,15.0,7.0,0.58,0.27,5.1,0.773,0.84,105.2
821,Salese Blow,Wichita State Shockers,AAC,71.0,30.56,31.0,97.85,92.15,1.9,1.1,0.8,0.72,0.44,0.29,34.0,2.0,1.1,0.06,6.8,0.636,0.63,94.1
822,Sam Dewey,Richmond Spiders,A10,74.0,7.37,32.0,90.94,85.53,0.45,0.07,0.37,-1.41,-2.08,0.67,4.0,3.0,0.12,0.09,,,,88.4
823,Samiana Suguturaga,Utah State Aggies,MWC,71.0,3.43,16.0,111.33,91.56,-0.0,0.03,-0.03,-0.68,-0.54,-0.14,0.0,1.0,0.0,0.06,,,,105.4
824,Sammie Puisis,South Florida Bulls,AAC,73.0,31.38,34.0,95.21,106.36,4.28,3.08,1.2,5.38,4.32,1.05,30.0,4.0,0.88,0.12,7.6,0.772,0.83,
825,Sanaa Tripp,Belmont Bruins,MVC,68.0,14.47,39.0,91.5,85.38,1.01,0.16,0.85,-0.5,-0.46,-0.04,24.0,7.0,0.62,0.18,3.3,0.792,0.97,91.2
826,Sandra Frau-Garcia,Illinois-Chicago Flames,MVC,67.0,19.5,32.0,94.91,85.92,0.9,0.18,0.72,1.22,1.19,0.03,38.0,3.0,1.19,0.09,5.5,0.758,0.84,95.4
827,Sania Jenkins,La Salle Explorers,A10,71.0,7.05,23.0,103.71,75.98,-0.05,-0.09,0.04,-2.63,-1.42,-1.2,1.0,6.0,0.04,0.26,,,,97.1
828,Saniah Caldwell,Pennsylvania Quakers,IVY,69.0,24.35,26.0,96.24,84.67,0.75,0.11,0.64,5.33,1.6,3.73,20.0,9.0,0.77,0.35,5.4,0.795,0.86,94.1
829,Saniyah Glenn,Harvard Crimson,IVY,72.0,25.7,27.0,81.3,95.29,2.59,0.78,1.81,4.01,2.01,2.0,29.0,23.0,1.07,0.85,,,,80.7
830,Saniyah Glenn-Bello,Harvard Crimson,IVY,,,,,,,,,,,,,,,,5.0,0.684,0.67,80.7
831,Sanna Strom,Colorado State Rams,MWC,72.0,27.79,11.0,95.69,117.29,1.09,0.76,0.33,1.85,0.07,1.78,5.0,4.0,0.45,0.36,5.3,0.812,0.96,94.5
832,Sara Bershers,UAB Blazers,AAC,72.0,26.99,31.0,95.99,92.67,1.74,0.86,0.87,-1.0,0.11,-1.11,32.0,21.0,1.03,0.68,8.6,0.822,0.86,94.9
833,Sara Lewis,George Washington Revolutionaries,A10,73.0,26.74,29.0,90.34,83.42,1.36,0.08,1.28,-0.01,-0.92,0.91,18.0,18.0,0.62,0.62,7.9,0.672,0.77,
834,Sara Zabrecky,Illinois-Chicago Flames,MVC,69.0,16.44,6.0,99.2,89.09,0.12,0.05,0.07,-0.27,0.24,-0.51,3.0,0.0,0.5,0.0,4.0,0.857,0.85,95.4
