,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
900,Tamesha Dozier,Evansville Aces,MVC,73.0,19.27,26.0,103.75,69.85,-0.35,-0.46,0.11,-1.32,-2.23,0.91,7.0,5.0,0.27,0.19,3.9,0.886,0.95,102.0
901,Tamia Perryman,Bradley Braves,MVC,68.0,25.18,32.0,94.92,94.26,1.89,0.96,0.93,0.01,-1.23,1.23,23.0,3.0,0.72,0.09,5.4,0.899,0.96,91.3
902,Tamya Smith,Memphis Tigers,AAC,74.0,13.64,28.0,105.2,88.13,0.26,0.23,0.03,-2.73,-1.62,-1.12,13.0,5.0,0.46,0.18,,,,105.0
903,Tanah Gorman,Air Force Falcons,MWC,72.0,1.84,4.0,92.43,,,,0.01,,,,0.0,0.0,0.0,0.0,,,,93.9
904,Tanyuel Welch,Memphis Tigers,AAC,70.0,29.11,30.0,105.48,91.67,1.0,0.97,0.03,-3.63,-0.53,-3.1,35.0,3.0,1.17,0.1,8.5,0.812,0.88,105.0
905,Tara Wallack,Washington State Cougars,WCC,74.0,33.76,34.0,93.81,107.88,4.69,3.24,1.46,2.85,1.86,0.99,34.0,65.0,1.0,1.91,8.9,0.74,0.8,95.3
906,Tarriyonna Gary,Temple Owls,AAC,70.0,31.04,31.0,91.84,102.9,3.47,2.05,1.43,1.69,1.28,0.41,36.0,5.0,1.16,0.16,7.2,0.781,0.87,87.7
907,Taryn Wharton,Northern Iowa Panthers,MVC,65.0,20.29,33.0,100.32,96.17,1.39,1.0,0.39,1.35,1.4,-0.06,26.0,2.0,0.79,0.06,5.3,0.794,0.89,97.9
908,Tatum Thompson,Boise State Broncos,MWC,73.0,26.31,30.0,91.65,108.74,4.05,2.86,1.18,2.11,2.13,-0.02,32.0,32.0,1.07,1.07,6.4,0.794,0.85,97.1
909,Tatyana Wyche,East Carolina Pirates,AAC,74.0,19.26,27.0,87.26,97.43,1.67,0.65,1.02,0.11,-0.67,0.78,13.0,33.0,0.48,1.22,3.3,0.761,0.86,
910,Taya Davis,Fordham Rams,A10,67.0,29.29,28.0,89.88,77.36,0.9,-0.48,1.38,2.39,0.88,1.5,44.0,4.0,1.57,0.14,7.3,0.682,0.76,89.6
911,Tayla Dalton,Gonzaga Bulldogs,WCC,69.0,25.93,24.0,96.81,105.13,1.59,0.99,0.59,3.18,1.01,2.17,26.0,2.0,1.08,0.08,7.8,0.78,0.85,95.9
912,Taylor Charles,Princeton Tigers,IVY,74.0,6.78,23.0,86.66,114.29,0.66,0.35,0.32,0.36,-0.69,1.05,1.0,12.0,0.04,0.52,,,,89.3
913,Taylor Donaldson,Fordham Rams,A10,70.0,33.53,25.0,88.37,97.64,3.3,1.76,1.54,0.95,-0.16,1.12,54.0,4.0,2.16,0.16,6.1,0.771,0.84,89.6
914,Taylor Jameson,Wichita State Shockers,AAC,65.0,26.73,28.0,95.9,93.15,1.58,0.79,0.78,0.41,0.81,-0.4,34.0,1.0,1.21,0.04,5.2,1.007,1.04,94.1
915,Taylor Ross,Texas-(San Antonio) Roadrunners,AAC,73.0,6.42,23.0,78.75,95.23,0.63,0.2,0.42,-1.25,-0.54,-0.71,3.0,12.0,0.13,0.52,,,,84.4
916,Teagan Colvin,UNLV Rebels,MWC,67.0,6.69,25.0,93.18,75.61,0.12,-0.1,0.22,2.74,2.02,0.72,7.0,0.0,0.28,0.0,,,,91.1
917,Tena Ikidi,Charlotte 49ers,AAC,75.0,8.12,30.0,92.7,83.89,0.37,0.03,0.34,-1.03,-0.03,-1.0,8.0,12.0,0.27,0.4,,,,97.7
918,Ternadoo Agatha Agba,Southern Illinois Salukis,MVC,69.0,5.7,22.0,107.84,52.07,-0.37,-0.34,-0.03,-4.52,-2.41,-2.11,9.0,0.0,0.41,0.0,,,,109.7
919,Teryn Gardner,Boise State Broncos,MWC,69.0,12.3,30.0,97.23,96.86,0.81,0.47,0.34,0.15,0.26,-0.11,16.0,1.0,0.53,0.03,3.7,0.847,0.98,97.1
920,Tess Barnes,Wyoming Cowgirls,MWC,74.0,31.21,31.0,94.06,98.66,2.73,1.53,1.2,3.43,2.68,0.76,21.0,11.0,0.68,0.35,6.8,0.823,0.84,91.7
921,Thoranna Kika Hodge-Carr,Loyola (Chicago) Ramblers,A10,68.0,23.82,29.0,97.29,81.23,0.55,-0.07,0.62,-0.57,0.29,-0.86,28.0,1.0,0.97,0.03,,,,97.2
922,Tiara Bolden,Oregon State Beavers,WCC,71.0,26.66,34.0,94.07,90.33,1.87,0.73,1.13,0.06,0.41,-0.34,30.0,6.0,0.88,0.18,4.8,0.726,0.72,93.7
923,Tiarra East,Temple Owls,AAC,70.0,31.69,31.0,89.27,89.54,2.72,1.0,1.72,5.17,1.93,3.24,41.0,3.0,1.32,0.1,7.6,0.776,0.87,87.7
924,Tierra Simon,Saint Louis Billikens,A10,73.0,29.46,32.0,95.13,99.86,2.54,1.48,1.07,0.19,-0.63,0.81,37.0,32.0,1.16,1.0,7.4,0.712,0.78,99.7
925,Tiffany Barbosa,Portland Pilots,WCC,70.0,3.94,31.0,96.07,60.97,-0.06,-0.18,0.13,-2.98,-0.99,-1.99,4.0,0.0,0.13,0.0,1.2,0.306,0.35,90.5
926,Tilly Boler,Memphis Tigers,AAC,73.0,33.89,30.0,109.41,99.37,1.72,2.1,-0.38,3.63,4.22,-0.58,21.0,15.0,0.7,0.5,7.8,0.795,0.82,105.0
927,Timaya Lewis-Eutsey,Virginia Commonwealth Rams,A10,68.0,28.63,8.0,88.47,92.52,0.84,0.42,0.42,2.31,0.22,2.09,11.0,3.0,1.38,0.38,7.9,0.444,0.57,88.2
928,Timia Ware,East Carolina Pirates,AAC,66.0,9.76,24.0,90.06,65.78,-0.04,-0.43,0.39,-4.17,-1.78,-2.39,11.0,2.0,0.46,0.08,,,,
929,Tina Njike,Pennsylvania Quakers,IVY,74.0,6.36,20.0,94.15,99.21,0.39,0.23,0.16,0.98,0.63,0.35,1.0,1.0,0.05,0.05,2.0,0.619,0.69,94.1
930,Tkiyah Nelson,Southern Illinois Salukis,MVC,70.0,27.65,29.0,108.12,76.26,-0.67,-0.48,-0.19,-5.63,-2.82,-2.82,44.0,7.0,1.52,0.24,6.4,0.927,1.0,109.7
931,Toby Nweke,Princeton Tigers,IVY,69.0,15.34,28.0,93.01,92.6,0.86,0.28,0.58,3.31,2.63,0.68,12.0,4.0,0.43,0.14,3.5,0.454,0.45,89.3
932,Tomisin Adenupe,Davidson Wildcats,A10,75.0,16.8,27.0,88.74,92.75,1.34,0.52,0.82,-0.7,-0.78,0.08,14.0,11.0,0.52,0.41,,,,89.1
933,Tommisha Lampkin,North Texas Mean Green,AAC,74.0,32.48,33.0,82.63,107.43,6.19,3.55,2.63,2.5,1.05,1.45,32.0,31.0,0.97,0.94,5.6,0.683,0.75,85.3
934,Tracey Bershers,UAB Blazers,AAC,74.0,17.6,31.0,96.1,104.41,1.77,1.21,0.56,-1.69,-0.23,-1.45,11.0,12.0,0.35,0.39,3.2,0.97,1.06,94.9
935,Trinity Gooden,Rice Owls,AAC,70.0,11.76,31.0,91.88,80.51,0.48,-0.06,0.54,0.08,-1.91,1.99,13.0,6.0,0.42,0.19,,,,89.9
936,Trinity Massenberg,George Mason Patriots,A10,72.0,4.95,30.0,88.14,93.73,0.47,0.19,0.28,-0.75,-0.6,-0.15,4.0,4.0,0.13,0.13,,,,85.8
937,Trinity White,Murray State Racers,MVC,69.0,22.52,33.0,96.84,102.63,1.56,0.85,0.71,2.59,2.97,-0.37,29.0,6.0,0.88,0.18,5.0,0.933,1.05,95.2
938,Trista Fayta,Illinois State Redbirds,MVC,68.0,14.61,36.0,99.42,87.29,0.56,0.2,0.36,-2.04,-2.21,0.16,20.0,2.0,0.56,0.06,3.9,0.858,0.86,98.5
939,Trista Hull,Portland Pilots,WCC,74.0,24.41,35.0,86.92,105.8,3.59,1.88,1.71,3.8,2.83,0.97,28.0,63.0,0.8,1.8,4.2,0.742,0.79,90.5
940,Tristen Taylor,Temple Owls,AAC,65.0,29.09,31.0,92.09,94.77,2.22,0.91,1.31,0.39,1.15,-0.75,39.0,1.0,1.26,0.03,6.4,0.698,0.78,87.7
941,Truitt Reilly,San Diego Toreros,WCC,74.0,29.04,29.0,94.16,97.79,2.68,1.64,1.03,-0.48,0.44,-0.92,35.0,22.0,1.21,0.76,7.1,0.868,0.88,99.8
942,Tuti Jones,Belmont Bruins,MVC,67.0,29.53,39.0,87.77,109.01,5.03,2.83,2.2,5.81,3.25,2.56,89.0,8.0,2.28,0.21,7.6,0.689,0.83,91.2
943,Ty'Renisha Bowers,La Salle Explorers,A10,68.0,16.63,31.0,101.05,74.24,-0.08,-0.34,0.26,-2.95,-1.42,-1.54,19.0,3.0,0.61,0.1,,,,97.1
944,Tyla Fautua,Pacific Tigers,WCC,72.0,6.12,20.0,98.55,,,,0.09,-2.24,-1.85,-0.39,2.0,5.0,0.1,0.25,1.5,0.516,0.58,92.7
945,Tyra Robinson,Missouri State Lady Bears,MVC,75.0,4.16,12.0,85.31,92.17,0.2,0.09,0.11,,,,3.0,1.0,0.25,0.08,,,,89.8
946,Tyranny Brown,Southern Illinois Salukis,MVC,68.0,20.09,29.0,114.38,83.67,-0.46,0.07,-0.52,-7.02,-3.8,-3.23,14.0,4.0,0.48,0.14,4.1,1.008,1.06,109.7
947,Valentina Monzo,UAB Blazers,AAC,74.0,1.99,7.0,90.68,150.58,0.07,0.05,0.02,,,,1.0,1.0,0.14,0.14,,,,94.9
948,Valentina Ojeda,Virginia Commonwealth Rams,A10,72.0,21.43,31.0,92.56,104.08,2.46,1.53,0.93,2.37,1.46,0.91,16.0,10.0,0.52,0.32,4.5,0.732,0.8,88.2
949,Vera  Gunaydin,Gonzaga Bulldogs,WCC,,,,,,,,,,,,,,,,1.4,0.5,0.45,95.9
950,Vera Gunaydin,Gonzaga Bulldogs,WCC,69.0,4.09,17.0,99.88,,,,0.04,-0.13,-0.08,-0.05,2.0,1.0,0.12,0.06,,,,95.9
951,Veronica Sheffey,San Diego State Aztecs,MWC,69.0,31.07,33.0,92.76,100.49,3.58,2.16,1.42,5.29,3.36,1.93,43.0,8.0,1.3,0.24,7.8,0.768,0.78,91.6
952,Viane Cumber,New Mexico Lobos,MWC,,,,,,,,,,,,,,,,7.0,0.795,0.83,95.8
953,Vianè Cumber,New Mexico Lobos,MWC,70.0,33.37,31.0,98.09,107.04,3.68,2.83,0.85,3.69,2.63,1.06,24.0,4.0,0.77,0.13,,,,95.8
954,Victoria Davis,Nevada Wolf Pack,MWC,64.0,23.62,30.0,99.78,97.08,1.62,1.17,0.46,-0.82,-0.46,-0.36,31.0,1.0,1.03,0.03,5.4,0.897,0.92,100.2
955,Victoria Flores,Rice Owls,AAC,67.0,29.29,34.0,91.31,91.94,2.61,1.07,1.53,3.55,1.47,2.08,40.0,6.0,1.18,0.18,8.4,0.754,0.78,89.9
956,Victoria Keenan,Tulane Green Wave,AAC,67.0,32.78,30.0,88.87,104.31,3.31,1.56,1.75,1.75,0.78,0.97,48.0,1.0,1.6,0.03,7.7,0.746,0.84,87.5
957,Victoria Page,Dartmouth Big Green,IVY,68.0,35.96,25.0,102.56,85.62,0.75,0.44,0.31,-3.66,-1.5,-2.16,23.0,6.0,0.92,0.24,7.6,0.68,0.81,99.7
958,Vittoria Blasigh,South Florida Bulls,AAC,69.0,26.0,34.0,93.53,103.82,3.18,2.03,1.15,2.6,-0.5,3.11,30.0,6.0,0.88,0.18,6.1,0.742,0.85,
959,Vivienne Knee,Cornell Big Red,IVY,69.0,8.97,25.0,91.83,84.05,0.35,0.02,0.33,2.82,1.45,1.37,6.0,5.0,0.24,0.2,2.8,0.859,0.9,95.4
960,Whitney Sullivan,Tulsa Golden Hurricane,AAC,75.0,1.68,1.0,101.54,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,
961,Yahmani McKayle,Massachusetts Minutewomen,A10,66.0,30.78,32.0,87.06,92.56,3.41,1.45,1.96,3.36,1.25,2.11,58.0,6.0,1.81,0.19,6.8,0.502,0.56,86.5
962,Yana Karamfilova,South Florida Bulls,AAC,74.0,3.69,13.0,90.28,101.93,0.14,0.07,0.08,,,,1.0,4.0,0.08,0.31,,,,
963,Yasmyn Palmer,Loyola (Chicago) Ramblers,A10,74.0,2.63,11.0,94.6,52.59,-0.06,-0.1,0.03,,,,1.0,2.0,0.09,0.18,,,,97.2
964,Yvonne Ejim,Gonzaga Bulldogs,WCC,73.0,31.24,35.0,89.93,115.6,7.97,6.13,1.84,7.26,4.71,2.54,47.0,36.0,1.34,1.03,5.4,0.82,0.84,95.9
965,Zahira Arizmendi,Florida Atlantic Owls,AAC,68.0,11.78,19.0,95.78,83.22,0.25,0.01,0.24,-3.01,-0.55,-2.46,9.0,1.0,0.47,0.05,3.1,0.949,0.96,
966,Zahirah Walton,George Mason Patriots,A10,71.0,30.67,32.0,83.42,113.41,6.4,4.07,2.33,4.46,3.24,1.21,54.0,32.0,1.69,1.0,6.6,0.733,0.79,85.8
967,Zawadi Ogot,Loyola Marymount Lions,WCC,71.0,19.34,25.0,102.11,82.46,0.2,0.0,0.19,-4.76,-1.03,-3.72,10.0,6.0,0.4,0.24,4.9,0.932,0.99,99.5
968,Zeryhia Aokuso,Saint Mary's Gaels,WCC,70.0,25.01,26.0,94.58,89.43,1.41,0.63,0.77,-1.48,-0.39,-1.09,32.0,5.0,1.23,0.19,,,,94.9
969,Zeryhia-Lee Aokuso,Saint Mary's Gaels,WCC,,,,,,,,,,,,,,,,4.7,0.913,0.97,94.9
970,Zeynep Ozel,Dartmouth Big Green,IVY,68.0,24.22,24.0,101.53,73.06,-0.42,-0.69,0.26,-5.48,-2.49,-2.99,21.0,1.0,0.88,0.04,5.0,0.767,0.93,99.7
971,Zoe Shaw,St. Bonaventure Bonnies,A10,67.0,33.71,30.0,106.29,88.34,0.65,0.7,-0.05,-4.38,-1.65,-2.74,19.0,6.0,0.63,0.2,,,,103.7
972,Zoe Shaww,St. Bonaventure Bonnies,A10,,,,,,,,,,,,,,,,8.8,0.697,0.77,103.7
973,Zoe Stewart,Missouri State Lady Bears,MVC,70.0,8.83,19.0,87.09,63.24,0.02,-0.32,0.33,-2.64,-1.11,-1.53,13.0,0.0,0.68,0.0,,,,89.8
974,Zoli Khalil,Virginia Commonwealth Rams,A10,72.0,25.6,31.0,92.11,92.54,2.07,0.92,1.15,-1.0,0.13,-1.13,19.0,9.0,0.61,0.29,6.1,0.779,0.78,88.2
