lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
AM-AC-IK-MH-PR,4.665,0.0,0,-2.483,1.567,2.4,2.265,1,1,0.0,0.0,0.0,0.5,41.667,0.0,0.442,0.442,2.0,44.15,-1.467,-67.371,-61.924,-5.447,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-IK-KJ-PR,4.0,0.0,0,0.0,1.367,2.0,2.0,2,2,1.0,0.5,0.0,0.0,100.0,0.5,0.0,0.0,0.0,100.0,-1.467,-9.038,-6.074,-2.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AM-IK-MH-PR,4.8,30.769,1,55.556,1.3,1.8,3.0,1,0,0.0,0.0,0.0,2.0,55.556,0.0,0.0,0.0,0.0,0.0,29.303,-53.482,-106.074,52.592,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-ZO-PR-CH,4.0,-94.737,-3,-150.0,1.267,2.0,2.0,2,5,1.0,0.5,0.0,0.0,100.0,1.25,0.0,0.0,0.0,250.0,-96.204,-9.038,143.926,-152.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AC-ZO-MH-CH,3.33,0.0,0,-171.245,1.1,2.33,1.0,3,3,0.333,0.0,0.429,0.333,128.755,1.5,0.0,0.0,0.0,300.0,-1.467,19.717,193.926,-174.208,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AC-IK-ZO-KJ-CH,5.0,82.759,2,66.667,0.967,3.0,2.0,2,0,0.333,0.0,0.0,0.0,66.667,0.0,1.0,0.0,0.0,0.0,81.292,-42.371,-106.074,63.703,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AC-ZO-MH-AM7,4.2,-42.105,-1,-13.889,0.95,1.8,2.4,2,3,0.0,0.0,0.0,2.0,111.111,1.0,0.417,0.0,1.0,125.0,-43.572,2.073,18.926,-16.852,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AM-ZO-KJ-CH,1.93,85.714,2,215.054,0.933,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,84.248,106.016,-106.074,212.09,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-IK-ZO-KJ-PR,2.0,0.0,0,0.0,0.933,1.0,1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.467,-109.038,-106.074,-2.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AM-ZO-MH-CH,3.0,-97.959,-2,0.0,0.817,1.0,2.0,2,4,1.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,200.0,-99.426,90.962,93.926,-2.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-MH-PR-CH,3.6,-66.482,-1,-55.556,0.602,1.8,1.8,1,2,0.0,0.0,0.0,2.0,55.556,0.0,0.556,0.0,0.0,111.111,-67.949,-53.482,5.037,-58.519,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-ZO-KJ-MH,0.93,0.0,0,-0.0,0.6,-0.07,1.0,0,0,0.0,-0.0,-14.286,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.467,-109.038,-106.074,-2.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-ZO-KJ-CH,1.8,0.0,0,-50.0,0.5,1.0,0.8,2,2,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,250.0,-1.467,90.962,143.926,-52.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
MS-AM-AC-MH-PR,1.8,184.615,1,125.0,0.217,0.8,1.0,1,0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,183.149,15.962,-106.074,122.036,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-AC-IK-MH,1.0,0.0,0,0.0,0.203,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.467,-109.038,-106.074,-2.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-IK-ZO-MH-CH,0.8,0.0,-1,-125.0,0.0,0.0,0.8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,-1.467,-109.038,18.926,-127.964,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
