Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country,Composite Score
Jaz Shelley,Secondary Ball Handler,509.0,2018,9.0,0.602,BIG 10,Nebraska,23-24,13.0,Australia,0.598
 Taya Hanson,Dynamic Shooting Wing,511.0,2018,10.0,0.667,PAC12,Oregon,22-23,6.0,Canada,0.59
Edessa Noyan,Post-Up Big,603.0,2022,8.9,0.83,ACC,Virginia,24-25,6.0,Sweden,0.58
Bonnie Deas,Slashing Wing,509.0,2024,14.0,1.02,SEC,Arkansas,25-26,,Australia,0.559
Sofia Kelemeni,Dynamic Shooting Wing,600.0,2022,7.0,0.515,MW,SJSU,24-25,9.0,Greece,0.555
Lemyah Hylton,Playmaking Wing,511.0,2022,8.0,0.533,ACC,Miami,23-24,6.0,Canada,0.54
Karla Erjavec,Slashing Wing,510.0,2017,15.0,0.938,MW,Wyoming,21-22,7.0,Croatia,0.538
Fatima Diakhate,Post-Up Big,605.0,2022,10.0,0.838,SEC,Georgia,24-25,5.0,Canada,0.537
Kobe King Hawea,-,511.0,2018,2.0,0.917,Big 12,Texas,21-22,4.0,Australia,0.533
Sanna Strom,Playmaking Wing,600.0,2019,7.5,0.8,MW,Colorado St.,24-25,6.6,Sweden,0.525
Angeliki Ziaka,Playmaking Big,600.0,2023,10.0,0.816,WCC,USF,24-25,8.0,Greece,0.522
Danielle Arigbabu,-,604.0,2018,5.0,1.063,Big 12,West Virginia,23-24,3.0,Germany,0.5
Emma Koabel,Dynamic Shooting Wing,511.0,2022,10.0,0.886,ACC,Duke,23-24,3.0,Canada,0.5
Izzy Anstey,Post-Up Big,604.0,2018,11.0,0.915,PAC12,UCLA,21-22,3.0,Australia,0.5
Nika Muhl,Playmaking Ball Handler,511.0,2018,10.0,0.724,Big East,Uconn,23-24,7.0,Croatia,0.488
Justina King,Secondary Ball Handler,508.0,2018,6.0,0.692,Big West,Long Beach State,21-22,12.0,Canada,0.485
Leah Mafua,Secondary Ball Handler,510.0,2018,10.0,0.654,ASUN,Central Arkansas,24-25,12.0,New Zealand,0.485
Marah Dykstra,Playmaking Big,602.0,2022,9.0,0.854,Big Sky,Montana State,24-25,12.0,Canada,0.485
Charlotte Whittaker,Rim Finishing Big,603.0,2018,14.0,1.045,PAC12,Colorado,23-24,3.0,New Zealand,0.48
Mailien Rolf,Playmaking Wing,510.0,2023,10.0,0.74,Big 12,Arizona,24-25,3.0,Germany,0.48
Tayla Dalton,Playmaking Wing,509.0,2018,7.0,0.814,WCC,Gonzaga,24-25,5.0,New Zealand,0.472
Lilly Parke,Slashing Wing,602.0,2022,8.0,0.6,NEC,FDU,24-25,10.0,New Zealand,0.468
Elea Gaba,Post-Up Big,603.0,2019,7.0,0.688,MAC,Buffalo,20-21,7.0,Germany,0.463
Isla Juffermans,Rim Finishing Big,604.0,2022,17.0,1.09,ACC,Louisville,24-25,2.0,Australia,0.457
Cynthia Ezeja,Post-Up Big,602.0,2019,4.0,0.571,WCC,LMU,23-24,6.0,Greece,0.455
Ella Bradley,Slashing Wing,601.0,2018,6.0,0.667,Lone Star,UT Tyler,24-25,11.0,New Zealand,0.452
Felicia Dourva,Playmaking Ball Handler,507.0,2018,4.0,0.4,D2,Fresno Pacific (D2),23-24,12.0,Sweden,0.44
Alma Elsnitz,Slashing Wing,511.0,2019,8.3,0.74,PAC12,California,23-24,1.5,Sweden,0.44
Frieda Buhner,Stretch Big,601,2022,12.0,0.739,ACC,Florida,22-23,1.5,Germany,0.44
Mia Vuksic,Dynamic Shooting Wing,600.0,2019,12.0,0.832,WCC,USF,24-25,5.0,Croatia,0.422
Vittoria Blasigh,Dynamic Shooting Wing,509.0,2022,8.0,0.864,AAC,South Florida,24-25,10.0,Italy,0.418
Lina Falk,Playmaking Wing,602.0,2022,8.0,0.639,Big Sky,Sacramento State,24-25,10.0,Germany,0.418
Hilke Feldrappe,Stretch Big,603.0,2022,5.0,0.515,SEC,Missouri,24-25,1.0,Germany,0.413
Silvia Nativi,Playmaking Wing,600.0,2019,3.0,0.544,CUSA,Louisiana Tech,23-24,6.0,Italy,0.41
Ismini Prapa,Scoring Ball Handler,507.0,2019,11.0,0.755,ACC,Pittsburg,19-20,2.0,Greece,0.407
Florence Dallow,Slashing Wing,602.0,2022,8.0,0.58,WCC,Portland,24-25,3.0,New Zealand,0.405
Georgia Grigoropoulou,Rim Finishing Big,603.0,2021,8.0,0.633,WCC,Santa Clara,24-25,4.0,Greece,0.398
Sofia Persson,Dynamic Shooting Wing,508.0,2018,4.0,0.449,ASUN,FGCU,23-24,7.0,Sweden,0.388
Lara Langermann,Playmaking Wing,507.0,2023,4.0,0.608,MW,New Mexico,24-25,3.0,Germany,0.385
Lova Lagerlid,Slashing Wing,600.0,2023,5.1,0.75,Big 12,Colorado,24-25,0.0,Sweden,0.38
Precious Johnson,Post-Up Big,604.0,2018,7.0,0.64,A10,Duquesne,23-24,7.0,Sweden,0.378
Roxane Makolo,Slashing Wing,510.0,2018,9.0,0.643,PAC12,USC,23-24,1.0,Canada,0.373
Anastasia Drosouni,-,511.0,2021,2.0,0.33,ACC,Cal,24-25,1.0,Greece,0.373
Marta Savic,Post-Up Big,601.0,2019,7.0,0.75,MW,Wyoming,23-24,2.0,Croatia,0.372
Mackenzie Chatfield,Playmaking Wing,509.0,2022,8.0,0.494,CUSA,Western Kentucky,24-25,6.0,New Zealand,0.37
Summah Hanson,-,603.0,2022,5.0,0.588,Big West,UC Irvine,24-25,7.0,Australia,0.368
Franka Wittenberg,Playmaking Ball Handler,508.0,2021,5.0,0.458,MAAC,Canisius,24-25,8.0,Germany,0.367
