team,mean_rank,median_rank,most_common_conference,rank_stability
UC Davis,141.4,152.0,Big West,37.6
UTSA,184.4,127.0,AAC,100.8
Memphis,156.2,141.0,AAC,41.1
Saint Louis,146.0,136.0,A-10,36.6
Stony Brook,150.4,139.0,CAA,74.3
Pacific,153.2,135.0,WCC,43.3
Butler,178.6,117.0,Big East,91.0
Norfolk State,181.6,142.0,MEAC,81.8
Fordham,147.6,173.0,A-10,41.7
College of Charleston,176.8,158.0,CAA,60.5
Vermont,177.8,152.0,AEC,53.6
California Baptist,148.2,125.0,WAC,58.5
Lamar,179.4,147.0,Southland,56.2
Louisiana Tech,157.8,167.0,CUSA,17.1
Louisiana,163.4,163.0,Sun Belt,2.6
Wichita State,157.2,169.0,AAC,34.4
Purdue Fort Wayne,193.4,141.0,Horizon,91.5
UAB,170.6,171.0,AAC,20.5
Dayton,155.4,154.0,A-10,79.9
Air Force,168.6,183.0,MWC,26.0
Fresno State,160.6,172.0,MWC,46.9
Eastern Washington,187.8,207.0,Big Sky,86.8
Jackson State,159.0,116.0,SWAC,81.4
Maine,169.0,147.0,AEC,48.2
North Carolina A&T,178.6,159.0,CAA,37.8
Drexel,162.4,171.0,CAA,40.2
Saint Mary's (CA),169.4,177.0,WCC,21.0
Idaho,175.2,193.0,Big Sky,30.9
Southeastern Louisiana,191.4,176.0,Southland,45.5
Nevada,171.2,186.0,MWC,26.8
UT Arlington,176.8,191.0,WAC,36.0
Arkansas State,194.6,170.0,Sun Belt,47.8
Chattanooga,194.0,183.0,Southern,72.6
Massachusetts,168.6,145.0,A-10,93.9
Tennessee Tech,178.8,155.0,OVC,41.5
San Diego,163.8,185.0,WCC,67.5
Albany (NY),198.4,178.0,AEC,52.0
Lehigh,178.6,156.0,Patriot,58.8
Illinois-Chicago,206.2,156.0,MVC,82.6
Idaho State,173.2,198.0,Big Sky,50.5
Abilene Christian,197.8,188.0,WAC,34.6
Loyola (IL),172.2,164.0,A-10,57.4
Delaware,169.4,202.0,CAA,64.4
Pennsylvania,163.8,160.0,Ivy,7.5
Towson,174.8,182.0,CAA,58.6
Northern Colorado,188.0,186.0,Big Sky,8.6
Holy Cross,197.6,184.0,Patriot,27.6
Southern Mississippi,194.4,192.0,Sun Belt,55.5
Long Beach State,178.8,198.0,Big West,50.5
New Mexico State,207.6,207.0,CUSA,40.6
George Washington,193.2,180.0,A-10,25.0
Tennessee-Martin,188.4,206.0,OVC,55.9
Loyola Marymount,199.4,199.0,WCC,15.1
Coastal Carolina,222.8,221.0,Sun Belt,66.2
Eastern Kentucky,210.4,191.0,A-Sun,34.0
Florida International,202.0,200.0,CUSA,29.8
Central Arkansas,218.6,185.0,A-Sun,67.5
Wofford,213.4,196.0,Southern,28.1
UC San Diego,210.2,223.0,Big West,20.1
Appalachian State,209.6,230.0,Sun Belt,34.6
Bucknell,186.8,197.0,Patriot,86.5
Northern Kentucky,191.6,226.0,Horizon,54.7
UC Santa Barbara,205.6,215.0,Big West,13.7
Austin Peay,199.4,197.0,A-Sun,35.1
Campbell,220.0,218.0,CAA,33.5
UC Riverside,208.0,208.0,Big West,13.2
UTEP,199.4,219.0,CUSA,42.8
Florida Atlantic,210.4,200.0,AAC,33.9
Georgia Southern,216.2,222.0,Sun Belt,22.6
Milwaukee,195.0,205.0,Horizon,72.9
Quinnipiac,215.8,216.0,MAAC,74.4
Cal Poly,211.6,169.0,Big West,61.4
Louisiana-Monroe,233.0,205.0,Sun Belt,96.4
Eastern Illinois,212.8,194.0,OVC,38.5
Southern Illinois,191.8,194.0,MVC,90.4
Jacksonville State,206.8,223.0,CUSA,49.1
UNC Greensboro,234.6,220.0,Southern,54.2
Georgia State,226.8,208.0,Sun Belt,35.5
Brown,209.0,172.0,Ivy,80.4
Southern Indiana,155.3,154.0,OVC,2.3
Little Rock,213.6,232.0,OVC,29.5
Texas A&M-Corpus Christi,230.6,241.0,Southland,64.1
Northern Illinois,207.0,242.0,MAC,58.5
Mercer,205.2,204.0,Southern,67.1
Western Michigan,213.8,237.0,MAC,39.5
Southern,230.0,227.0,SWAC,33.3
Howard,232.6,230.0,MEAC,33.4
Miami (OH),228.6,212.0,MAC,58.9
Monmouth,236.0,262.0,CAA,72.6
Texas State,226.2,217.0,Sun Belt,19.8
Lipscomb,236.8,217.0,A-Sun,35.7
Colgate,247.0,213.0,Patriot,73.7
IU Indy,197.8,281.0,Horizon,117.7
Western Illinois,229.6,228.0,OVC,13.3
Wright State,216.2,195.0,Horizon,89.3
Youngstown State,214.0,231.0,Horizon,58.7
William & Mary,235.8,233.0,CAA,47.0
Utah Valley,232.2,222.0,WAC,49.6
East Tennessee State,249.4,212.0,Southern,58.3
Kansas City,222.4,260.0,Summit,59.1
Akron,224.8,246.0,MAC,50.9
Boston University,220.2,240.0,Patriot,56.7
Manhattan,237.2,245.0,MAAC,24.4
Valparaiso,226.8,218.0,MVC,75.3
Denver,240.6,252.0,Summit,18.8
Xavier,240.8,225.0,Big East,44.2
Tarleton State,256.0,277.0,WAC,50.6
Stetson,239.6,248.0,A-Sun,42.7
Indiana State,242.2,245.0,MVC,28.3
Bradley,231.8,242.0,MVC,100.3
Siena,255.0,261.0,MAAC,38.9
High Point,246.8,253.0,Big South,24.7
St. Thomas,238.2,233.0,Summit,46.5
Ohio,217.6,263.0,MAC,98.3
