Player,Poss,PPP,PPS,Team,conf
Amira Mabry,4.9,0.912,0.99,Tulane Green Wave,AAC
Erin Rodgers,5.7,0.912,1.08,Florida Atlantic Owls,AAC
Anzhane Hutton,3.7,0.916,0.95,East Carolina Pirates,AAC
Hadley Periman,6.6,0.937,1.0,Tulsa Golden Hurricane,AAC
Eleecia Carter,5.5,0.949,0.96,UAB Blazers,AAC
Zahira Arizmendi,3.1,0.949,0.96,Florida Atlantic Owls,AAC
Tracey Bershers,3.2,0.97,1.06,UAB Blazers,AAC
Elauna Eaton,4.4,0.977,0.98,Memphis Tigers,AAC
Amy Thompson,3.3,1.0,1.2,South Florida Bulls,AAC
Taylor Jameson,5.2,1.007,1.04,Wichita State Shockers,AAC
Hannah Riddick,4.0,1.125,1.15,Memphis Tigers,AAC
Kyleigh Ortiz,3.0,1.333,2.0,Wichita State Shockers,AAC
