Player,Poss,PPP,PPS,Team,conf
Khylee-Jade Pepe,4.0,0.917,1.25,San Diego State Aztecs,MWC
Taliyah Logwood,3.4,0.924,1.05,Utah State Aggies,MWC
Denae Skelton,3.1,0.926,0.97,Utah State Aggies,MWC
Meghan Fiso,4.1,0.927,0.95,San Diego State Aztecs,MWC
Milly Sharp,2.1,0.931,0.88,Boise State Broncos,MWC
Joana Magalhaes,7.7,0.939,0.99,New Mexico Lobos,MWC
Carlie Latta,4.5,0.943,1.02,Utah State Aggies,MWC
Amiah Simmons,7.5,0.95,0.95,San Jose State Spartans,MWC
Amira Brown,6.3,0.95,0.96,San Jose State Spartans,MWC
Kennedy Lee,4.6,0.951,1.0,Nevada Wolf Pack,MWC
Kenadee Winfrey,2.5,0.965,1.11,UNLV Rebels,MWC
Gracie  Johnson,2.2,0.982,0.98,Utah State Aggies,MWC
Keelie O'Hollaren,4.7,1.0,1.03,Air Force Falcons,MWC
Emily Adams,2.7,1.045,1.15,Air Force Falcons,MWC
Jayda Clark,2.0,1.064,1.02,Boise State Broncos,MWC
Avery Watkins,2.3,1.089,1.15,Fresno State Bulldogs,MWC
