team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Cal St. Fullerton,True,EOG,209.55,25,57,3,8,9,15,62,7,20,27,0,0,0,17,33,20251129
Cal St. Fullerton,True,Q1,47.14,8,13,0,1,2,3,18,1,6,7,0,0,0,5,5,20251129
Cal St. Fullerton,True,Q2,52.94,6,13,1,2,0,1,13,0,4,4,0,0,0,4,7,20251129
Cal St. Fullerton,True,Q3,57.8,4,11,2,4,5,8,15,3,5,8,0,0,0,4,8,20251129
Cal St. Fullerton,True,Q4,49.63,7,20,0,1,2,3,16,3,5,8,0,0,0,4,13,20251129
LMU,False,EOG,226.17,24,54,6,12,19,23,73,9,22,31,0,0,0,17,33,20251129
LMU,False,Q1,39.59,9,17,2,3,1,1,21,2,4,6,0,0,0,3,5,20251129
LMU,False,Q2,57.8,5,13,1,3,7,8,18,4,5,9,0,0,0,4,7,20251129
LMU,False,Q3,55.35,6,14,2,4,1,2,15,2,4,6,0,0,0,3,8,20251129
LMU,False,Q4,59.83,4,10,1,2,10,12,19,1,9,10,0,0,0,7,13,20251129
