team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,allison clarke,AC,EOG,12.9,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,20260117
LMU,False,allison clarke,AC,Q4,5.25,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,20260117
LMU,False,ana milanovic,AM7,EOG,11.83,3,4,1,1,0,0,7,0,0,0,0,0,0,1,2,20260117
LMU,False,ana milanovic,AM7,Q1,1.55,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20260117
LMU,False,ana milanovic,AM7,Q2,4.93,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20260117
LMU,False,ana milanovic,AM7,Q3,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20260117
LMU,False,ana milanovic,AM7,Q4,4.42,1,2,1,1,0,0,3,0,0,0,0,0,0,0,1,20260117
LMU,False,andjela matic,AM,EOG,32.9,6,10,2,4,1,1,15,0,2,2,0,0,0,1,3,20260117
LMU,False,andjela matic,AM,Q1,7.82,2,3,1,1,1,1,6,0,1,1,0,0,0,0,2,20260117
LMU,False,andjela matic,AM,Q2,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260117
LMU,False,andjela matic,AM,Q3,7.73,1,3,0,1,0,0,2,0,1,1,0,0,0,0,0,20260117
LMU,False,andjela matic,AM,Q4,7.37,3,4,1,2,0,0,7,0,0,0,0,0,0,0,1,20260117
LMU,False,carly heidger,CH,EOG,34.43,3,6,0,0,0,0,6,1,3,4,0,0,0,0,5,20260117
LMU,False,carly heidger,CH,Q1,9.97,2,3,0,0,0,0,4,0,1,1,0,0,0,0,3,20260117
LMU,False,carly heidger,CH,Q3,9.07,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,20260117
LMU,False,carly heidger,CH,Q4,5.42,1,3,0,0,0,0,2,1,1,2,0,0,0,0,1,20260117
LMU,False,ivana krajina,IK,EOG,27.9,4,7,0,0,0,0,8,0,2,2,0,0,0,1,2,20260117
LMU,False,ivana krajina,IK,Q1,6.27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,20260117
LMU,False,ivana krajina,IK,Q2,7.05,2,2,0,0,0,0,4,0,0,0,0,0,0,1,0,20260117
LMU,False,ivana krajina,IK,Q3,10.0,2,5,0,0,0,0,4,0,1,1,0,0,0,0,0,20260117
LMU,False,ivana krajina,IK,Q4,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20260117
LMU,False,jess lawson,JL,EOG,27.15,4,10,0,1,4,5,12,3,3,6,0,0,0,2,5,20260117
LMU,False,jess lawson,JL,Q1,4.88,2,2,0,0,0,0,4,1,2,3,0,0,0,0,0,20260117
LMU,False,jess lawson,JL,Q2,5.83,1,4,0,0,2,3,4,1,0,1,0,0,0,1,3,20260117
LMU,False,jess lawson,JL,Q3,6.6,1,4,0,1,2,2,4,1,0,1,0,0,0,0,1,20260117
LMU,False,jess lawson,JL,Q4,9.83,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,20260117
LMU,False,kayla jones,KJ,EOG,17.95,3,5,0,0,0,0,6,4,4,8,0,0,0,0,3,20260117
LMU,False,kayla jones,KJ,Q1,2.77,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,20260117
LMU,False,kayla jones,KJ,Q2,3.65,2,2,0,0,0,0,4,1,2,3,0,0,0,0,1,20260117
LMU,False,kayla jones,KJ,Q3,6.28,1,1,0,0,0,0,2,3,0,3,0,0,0,0,0,20260117
LMU,False,kayla jones,KJ,Q4,5.25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,20260117
LMU,False,mari somvichian,MS,EOG,5.72,2,2,0,0,0,0,4,0,0,0,0,0,0,0,1,20260117
LMU,False,mari somvichian,MS,Q3,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20260117
LMU,False,mari somvichian,MS,Q4,2.47,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,20260117
LMU,False,maya hernandez,MH,EOG,25.13,6,13,0,1,2,2,14,1,1,2,0,0,0,1,6,20260117
LMU,False,maya hernandez,MH,Q1,6.78,3,7,0,1,0,0,6,0,0,0,0,0,0,0,0,20260117
LMU,False,maya hernandez,MH,Q2,6.33,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,20260117
LMU,False,maya hernandez,MH,Q3,4.65,2,3,0,0,1,1,5,0,0,0,0,0,0,1,4,20260117
LMU,False,maya hernandez,MH,Q4,7.37,1,1,0,0,1,1,3,1,0,1,0,0,0,0,1,20260117
LMU,False,team,,EOG,0.0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,20260117
LMU,False,team,,Q1,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,20260117
