team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,allison clarke,AC,EOG,27.93,1,4,0,1,0,0,2,0,1,1,0,0,0,1,1,20251221
LMU,True,allison clarke,AC,Q1,6.9,1,2,0,1,0,0,2,0,1,1,0,0,0,0,0,20251221
LMU,True,allison clarke,AC,Q2,4.25,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,20251221
LMU,True,andjela matic,AM,EOG,33.43,3,7,1,3,3,3,10,0,3,3,0,0,0,2,5,20251221
LMU,True,andjela matic,AM,Q1,5.22,2,2,1,1,0,0,5,0,1,1,0,0,0,0,0,20251221
LMU,True,andjela matic,AM,Q2,8.22,1,2,0,1,3,3,5,0,1,1,0,0,0,0,2,20251221
LMU,True,andjela matic,AM,Q3,10.0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,20251221
LMU,True,andjela matic,AM,Q4,10.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,20251221
LMU,True,carly heidger,CH,EOG,27.32,3,6,0,3,0,0,6,1,0,1,0,0,0,0,3,20251221
LMU,True,carly heidger,CH,Q1,5.32,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,20251221
LMU,True,carly heidger,CH,Q2,7.58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20251221
LMU,True,carly heidger,CH,Q3,6.13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,20251221
LMU,True,carly heidger,CH,Q4,8.28,1,2,0,1,0,0,2,1,0,1,0,0,0,0,1,20251221
LMU,True,ivana krajina,IK,EOG,31.18,2,7,0,1,5,6,9,0,2,2,0,0,0,1,6,20251221
LMU,True,ivana krajina,IK,Q1,5.73,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,20251221
LMU,True,ivana krajina,IK,Q2,8.65,0,1,0,0,1,2,1,0,0,0,0,0,0,0,2,20251221
LMU,True,ivana krajina,IK,Q3,6.8,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,20251221
LMU,True,ivana krajina,IK,Q4,10.0,0,2,0,0,4,4,4,0,2,2,0,0,0,0,3,20251221
LMU,True,jess lawson,JL,EOG,29.33,3,6,0,0,11,12,17,2,5,7,0,0,0,1,9,20251221
LMU,True,jess lawson,JL,Q1,4.17,2,2,0,0,1,2,5,0,0,0,0,0,0,0,2,20251221
LMU,True,jess lawson,JL,Q2,8.3,0,1,0,0,6,6,6,2,1,3,0,0,0,0,3,20251221
LMU,True,jess lawson,JL,Q3,8.42,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20251221
LMU,True,jess lawson,JL,Q4,8.45,1,3,0,0,4,4,6,0,3,3,0,0,0,1,4,20251221
LMU,True,kayla jones,KJ,EOG,9.52,3,3,0,0,0,0,6,1,0,1,0,0,0,1,0,20251221
LMU,True,kayla jones,KJ,Q1,4.17,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20251221
LMU,True,kayla jones,KJ,Q3,3.22,2,2,0,0,0,0,4,1,0,1,0,0,0,1,0,20251221
LMU,True,maya hernandez,MH,EOG,23.77,4,11,0,1,3,5,11,0,5,5,0,0,0,1,8,20251221
LMU,True,maya hernandez,MH,Q1,3.77,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,20251221
LMU,True,maya hernandez,MH,Q2,7.87,0,2,0,0,0,0,0,0,2,2,0,0,0,1,2,20251221
LMU,True,maya hernandez,MH,Q3,5.48,2,4,0,0,0,0,4,0,1,1,0,0,0,0,1,20251221
LMU,True,maya hernandez,MH,Q4,6.65,2,3,0,1,2,3,6,0,2,2,0,0,0,0,4,20251221
