team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,229.11,33,67,6,12,11,16,83,10,22,32,0,0,0,14,36,20260108
LMU,False,OT1,24.29,1,3,0,0,8,10,10,0,5,5,0,0,0,2,8,20260108
LMU,False,Q1,38.03,7,15,1,2,2,2,17,2,3,5,0,0,0,3,6,20260108
LMU,False,Q2,56.620000000000005,8,23,3,6,1,3,20,7,4,11,0,0,0,1,6,20260108
LMU,False,Q3,49.9,9,16,2,4,0,1,20,1,8,9,0,0,0,1,7,20260108
LMU,False,Q4,43.42,8,10,0,0,0,0,16,0,2,2,0,0,0,7,9,20260108
Pepperdine,True,EOG,233.20000000000002,31,61,5,14,11,14,78,6,22,28,0,0,0,15,36,20260108
Pepperdine,True,OT1,28.91,2,6,0,1,1,2,5,0,3,3,0,0,0,3,8,20260108
Pepperdine,True,Q1,46.16,10,14,1,2,2,2,23,1,5,6,0,0,0,2,6,20260108
Pepperdine,True,Q2,49.92,6,14,1,5,3,4,16,2,8,10,0,0,0,4,6,20260108
Pepperdine,True,Q3,52.85,3,12,2,4,1,2,9,1,6,7,0,0,0,4,7,20260108
Pepperdine,True,Q4,47.23,10,15,1,2,4,4,25,2,0,2,0,0,0,2,9,20260108
