team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,allison clarke,AC,EOG,31.32,2,4,0,1,1,1,5,0,1,1,0,0,0,0,2,20260122
LMU,True,allison clarke,AC,Q1,4.17,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,20260122
LMU,True,allison clarke,AC,Q2,9.95,2,3,0,0,1,1,5,0,0,0,0,0,0,0,2,20260122
LMU,True,ana milanovic,AM7,EOG,2.53,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,20260122
LMU,True,ana milanovic,AM7,Q3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20260122
LMU,True,ana milanovic,AM7,Q4,1.78,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20260122
LMU,True,andjela matic,AM,EOG,36.58,2,9,2,5,2,2,8,0,4,4,0,0,0,2,3,20260122
LMU,True,andjela matic,AM,Q1,8.63,0,3,0,2,0,0,0,0,2,2,0,0,0,1,1,20260122
LMU,True,andjela matic,AM,Q2,9.95,1,3,1,1,0,0,3,0,2,2,0,0,0,0,1,20260122
LMU,True,andjela matic,AM,Q3,9.87,1,3,1,2,0,0,3,0,0,0,0,0,0,0,0,20260122
LMU,True,andjela matic,AM,Q4,8.13,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,20260122
LMU,True,carly heidger,CH,EOG,32.87,7,12,1,3,0,0,15,2,2,4,0,0,0,1,1,20260122
LMU,True,carly heidger,CH,Q1,7.75,2,2,1,1,0,0,5,0,0,0,0,0,0,0,0,20260122
LMU,True,carly heidger,CH,Q2,8.0,1,4,0,1,0,0,2,1,0,1,0,0,0,1,1,20260122
LMU,True,carly heidger,CH,Q3,9.25,2,3,0,1,0,0,4,0,2,2,0,0,0,0,0,20260122
LMU,True,carly heidger,CH,Q4,7.87,2,3,0,0,0,0,4,1,0,1,0,0,0,0,0,20260122
LMU,True,ivana krajina,IK,EOG,17.75,0,4,0,1,3,4,3,0,4,4,0,0,0,0,6,20260122
LMU,True,ivana krajina,IK,Q1,4.98,0,2,0,0,0,0,0,0,2,2,0,0,0,0,3,20260122
LMU,True,ivana krajina,IK,Q3,2.85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,20260122
LMU,True,ivana krajina,IK,Q4,9.92,0,1,0,0,3,4,3,0,2,2,0,0,0,0,2,20260122
LMU,True,jess lawson,JL,EOG,29.63,4,8,0,0,2,8,10,5,1,6,0,0,0,3,7,20260122
LMU,True,jess lawson,JL,Q1,5.25,1,1,0,0,0,0,2,1,0,1,0,0,0,1,0,20260122
