team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Idaho St.,False,EOG,209.59,22,50,1,7,7,14,52,8,20,28,0,0,0,20,41,20251123
Idaho St.,False,Q1,44.68,5,14,1,1,0,0,11,3,6,9,0,0,0,6,7,20251123
Idaho St.,False,Q2,53.410000000000004,5,7,0,2,6,8,16,0,3,3,0,0,0,5,11,20251123
Idaho St.,False,Q3,54.379999999999995,4,15,0,4,0,2,8,4,8,12,0,0,0,4,10,20251123
Idaho St.,False,Q4,50.42,8,14,0,0,1,4,17,1,3,4,0,0,0,5,13,20251123
LMU,True,EOG,192.39000000000001,21,53,4,19,25,33,71,7,18,25,0,0,0,13,41,20251123
LMU,True,Q1,40.58,5,15,0,6,3,3,13,2,4,6,0,0,0,2,7,20251123
LMU,True,Q2,49.62,5,12,1,5,8,8,19,1,2,3,0,0,0,5,11,20251123
LMU,True,Q3,47.36,1,8,1,2,5,9,8,0,6,6,0,0,0,4,10,20251123
LMU,True,Q4,49.07,10,18,2,6,9,13,31,4,6,10,0,0,0,2,13,20251123
