team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
LMU,False,EOG,23,16,4,40,20260117
LMU,False,Q1,4,2,2,14,20260117
LMU,False,Q2,4,2,0,10,20260117
LMU,False,Q3,13,6,0,8,20260117
LMU,False,Q4,2,6,2,8,20260117
Pacific,True,EOG,7,11,3,20,20260117
Pacific,True,Q1,0,0,0,4,20260117
Pacific,True,Q2,2,4,0,8,20260117
Pacific,True,Q3,3,3,3,4,20260117
Pacific,True,Q4,2,4,0,4,20260117
