team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
LMU,True,EOG,23,12,2,46,20260122
LMU,True,Q1,6,0,0,12,20260122
LMU,True,Q2,4,5,2,10,20260122
LMU,True,Q3,3,3,0,10,20260122
LMU,True,Q4,10,4,0,14,20260122
Portland,False,EOG,8,14,4,36,20260122
Portland,False,Q1,2,2,0,8,20260122
Portland,False,Q2,2,3,2,8,20260122
Portland,False,Q3,4,6,0,10,20260122
Portland,False,Q4,0,3,2,10,20260122
