team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,255.24,28,72,5,17,21,28,82,13,18,31,0,0,0,9,40,20260104
LMU,True,OT1,25.0,2,8,1,5,3,4,8,0,3,3,0,0,0,0,6,20260104
LMU,True,Q1,40.19,9,16,1,3,1,2,20,2,3,5,0,0,0,3,4,20260104
LMU,True,Q2,53.56,4,12,1,5,6,8,15,1,7,8,0,0,0,1,10,20260104
LMU,True,Q3,53.28,5,17,1,3,6,7,17,4,2,6,0,0,0,2,9,20260104
LMU,True,Q4,52.08,8,19,1,1,5,7,22,6,3,9,0,0,0,3,11,20260104
San Francisco,False,EOG,232.81,31,59,5,14,18,21,85,7,23,30,0,0,0,13,40,20260104
San Francisco,False,OT1,24.13,2,5,1,2,6,8,11,1,4,5,0,0,0,2,6,20260104
San Francisco,False,Q1,39.74,7,14,1,2,2,2,17,1,3,4,0,0,0,4,4,20260104
San Francisco,False,Q2,54.05,6,14,0,4,2,2,14,1,6,7,0,0,0,1,10,20260104
San Francisco,False,Q3,49.17,10,16,1,3,3,3,24,4,6,10,0,0,0,3,9,20260104
San Francisco,False,Q4,41.8,6,10,2,3,5,6,19,0,4,4,0,0,0,3,11,20260104
