team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,andjela matic,AM,EOG,33.65,4,9,3,7,1,1,12,0,4,4,0,0,0,3,3,20251113
LMU,False,andjela matic,AM,Q1,5.43,1,2,1,1,0,0,3,0,1,1,0,0,0,1,0,20251113
LMU,False,andjela matic,AM,Q2,9.03,3,5,2,4,1,1,9,0,1,1,0,0,0,0,2,20251113
LMU,False,andjela matic,AM,Q3,9.98,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,20251113
LMU,False,andjela matic,AM,Q4,9.2,0,1,0,1,0,0,0,0,1,1,0,0,0,2,1,20251113
LMU,False,carly heidger,CH,EOG,35.22,0,6,0,4,1,2,1,2,2,4,0,0,0,1,4,20251113
LMU,False,carly heidger,CH,Q1,8.42,0,1,0,0,1,2,1,1,0,1,0,0,0,0,3,20251113
LMU,False,carly heidger,CH,Q2,8.57,0,1,0,1,0,0,0,0,2,2,0,0,0,0,1,20251113
LMU,False,carly heidger,CH,Q3,8.23,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,20251113
LMU,False,carly heidger,CH,Q4,10.0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,20251113
LMU,False,ivana krajina,IK,EOG,34.2,5,8,2,3,0,0,12,0,3,3,0,0,0,7,4,20251113
LMU,False,ivana krajina,IK,Q1,8.95,2,4,1,1,0,0,5,0,1,1,0,0,0,2,1,20251113
LMU,False,ivana krajina,IK,Q2,9.92,1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,20251113
LMU,False,ivana krajina,IK,Q3,8.57,1,1,0,0,0,0,2,0,1,1,0,0,0,2,1,20251113
LMU,False,ivana krajina,IK,Q4,6.77,1,2,1,2,0,0,3,0,1,1,0,0,0,0,2,20251113
LMU,False,jess lawson,JL,EOG,24.87,3,6,0,0,1,2,7,1,3,4,0,0,0,1,4,20251113
LMU,False,jess lawson,JL,Q1,3.72,1,2,0,0,0,0,2,0,1,1,0,0,0,0,1,20251113
LMU,False,jess lawson,JL,Q2,5.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20251113
LMU,False,jess lawson,JL,Q3,7.95,1,2,0,0,0,0,2,1,1,2,0,0,0,0,0,20251113
LMU,False,jess lawson,JL,Q4,7.85,1,1,0,0,1,2,3,0,1,1,0,0,0,1,3,20251113
LMU,False,kayla jones,KJ,EOG,16.77,2,4,0,0,0,0,4,1,2,3,0,0,0,0,1,20251113
LMU,False,kayla jones,KJ,Q1,4.45,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,20251113
LMU,False,kayla jones,KJ,Q2,5.75,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20251113
LMU,False,kayla jones,KJ,Q3,5.2,1,2,0,0,0,0,2,1,1,2,0,0,0,0,1,20251113
LMU,False,mari somvichian,MS,EOG,10.08,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,20251113
LMU,False,mari somvichian,MS,Q1,3.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
LMU,False,mari somvichian,MS,Q4,4.03,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20251113
LMU,False,maya hernandez,MH,EOG,26.47,7,14,0,1,2,6,16,1,0,1,0,0,0,3,8,20251113
LMU,False,maya hernandez,MH,Q1,5.78,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1,20251113
LMU,False,maya hernandez,MH,Q2,5.52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
LMU,False,maya hernandez,MH,Q3,6.53,3,8,0,1,0,0,6,0,0,0,0,0,0,1,3,20251113
LMU,False,maya hernandez,MH,Q4,8.63,4,4,0,0,1,4,9,1,0,1,0,0,0,0,4,20251113
LMU,False,team,,EOG,0.0,0,0,0,0,0,0,0,9,3,12,0,0,0,3,0,20251113
LMU,False,team,,Q1,0.0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,20251113
LMU,False,team,,Q2,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,20251113
LMU,False,team,,Q3,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,20251113
LMU,False,team,,Q4,0.0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,20251113
LMU,False,zawadi ogot,ZO,EOG,10.83,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,20251113
LMU,False,zawadi ogot,ZO,Q1,3.95,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20251113
LMU,False,zawadi ogot,ZO,Q2,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
LMU,False,zawadi ogot,ZO,Q4,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
Nevada,True,ahrray young,,EOG,28.37,5,8,0,1,0,0,10,1,4,5,0,0,0,4,3,20251113
Nevada,True,ahrray young,,Q1,2.85,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,20251113
Nevada,True,ahrray young,,Q2,7.57,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,20251113
Nevada,True,ahrray young,,Q3,7.95,1,1,0,0,0,0,2,1,1,2,0,0,0,2,0,20251113
Nevada,True,ahrray young,,Q4,10.0,3,3,0,0,0,0,6,0,2,2,0,0,0,0,3,20251113
Nevada,True,amelia raidaveta,,EOG,32.47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
Nevada,True,amelia raidaveta,,Q1,2.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
Nevada,True,britain backus,,EOG,11.57,3,4,2,3,0,0,8,0,0,0,0,0,0,2,3,20251113
Nevada,True,britain backus,,Q1,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
Nevada,True,britain backus,,Q2,4.95,2,2,1,1,0,0,5,0,0,0,0,0,0,0,0,20251113
Nevada,True,britain backus,,Q3,2.68,1,1,1,1,0,0,3,0,0,0,0,0,0,0,1,20251113
Nevada,True,britain backus,,Q4,1.92,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,20251113
Nevada,True,chloe williams,,EOG,19.68,2,2,0,0,0,0,4,0,1,1,0,0,0,1,1,20251113
Nevada,True,chloe williams,,Q2,7.57,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,20251113
Nevada,True,chloe williams,,Q4,7.32,2,2,0,0,0,0,4,0,0,0,0,0,0,1,0,20251113
Nevada,True,gabby ramos,,EOG,11.87,2,3,1,1,1,1,6,0,0,0,0,0,0,0,1,20251113
Nevada,True,gabby ramos,,Q1,4.77,1,1,0,0,1,1,3,0,0,0,0,0,0,0,1,20251113
Nevada,True,gabby ramos,,Q2,5.07,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,20251113
Nevada,True,gabby ramos,,Q3,2.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20251113
Nevada,True,imbie jones,,EOG,26.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20251113
Nevada,True,imbie jones,,Q1,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251113
Nevada,True,imbie jones,,Q2,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20251113
Nevada,True,imbie jones,,Q4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
Nevada,True,izzy sullivan,,EOG,31.53,7,12,1,1,0,0,15,0,3,3,0,0,0,2,0,20251113
Nevada,True,izzy sullivan,,Q1,6.27,2,3,0,0,0,0,4,0,1,1,0,0,0,1,0,20251113
Nevada,True,izzy sullivan,,Q2,7.2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
Nevada,True,izzy sullivan,,Q3,9.98,4,5,1,1,0,0,9,0,2,2,0,0,0,0,0,20251113
Nevada,True,izzy sullivan,,Q4,8.08,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,20251113
Nevada,True,kendra hicks,,EOG,30.23,1,2,0,0,0,0,2,1,3,4,0,0,0,1,1,20251113
Nevada,True,kendra hicks,,Q1,9.52,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,20251113
Nevada,True,kendra hicks,,Q2,9.92,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,20251113
Nevada,True,kendra hicks,,Q3,6.2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,20251113
Nevada,True,maia rosarion,,EOG,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
Nevada,True,maia rosarion,,Q1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20251113
Nevada,True,makayla carter,,EOG,37.73,0,1,0,0,4,4,4,0,0,0,0,0,0,2,7,20251113
Nevada,True,makayla carter,,Q1,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20251113
Nevada,True,makayla carter,,Q3,9.98,0,1,0,0,2,2,2,0,0,0,0,0,0,0,2,20251113
Nevada,True,makayla carter,,Q4,7.9,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,20251113
Nevada,True,skylar durley,,EOG,29.45,2,9,0,1,1,2,5,1,5,6,0,0,0,2,7,20251113
Nevada,True,skylar durley,,Q1,4.5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,20251113
Nevada,True,skylar durley,,Q2,4.97,1,2,0,0,1,2,3,1,2,3,0,0,0,0,1,20251113
Nevada,True,skylar durley,,Q3,9.98,1,4,0,0,0,0,2,0,2,2,0,0,0,1,1,20251113
Nevada,True,skylar durley,,Q4,10.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,20251113
Nevada,True,tahj-monet bloom,,EOG,8.57,1,3,0,1,0,0,2,2,1,3,0,0,0,1,0,20251113
Nevada,True,tahj-monet bloom,,Q1,3.72,1,2,0,0,0,0,2,1,0,1,0,0,0,0,0,20251113
Nevada,True,tahj-monet bloom,,Q2,4.85,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,20251113
Nevada,True,team,,EOG,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,20251113
Nevada,True,team,,Q1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20251113
Nevada,True,team,,Q4,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,20251113
