team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,215.79999999999998,24,54,2,12,26,30,76,6,22,28,0,0,0,8,37,20251221
LMU,True,Q1,43.980000000000004,10,14,1,2,2,4,23,1,4,5,0,0,0,2,4,20251221
LMU,True,Q2,56.57,2,12,0,3,10,11,14,2,6,8,0,0,0,2,11,20251221
LMU,True,Q3,46.35,8,15,1,4,0,0,17,1,2,3,0,0,0,2,7,20251221
LMU,True,Q4,48.45,4,13,0,3,14,15,22,2,10,12,0,0,0,2,15,20251221
Southern Utah,False,EOG,195.35,26,54,8,20,8,14,68,5,20,25,0,0,0,15,37,20251221
Southern Utah,False,Q1,42.04,5,13,1,6,0,0,11,3,4,7,0,0,0,8,4,20251221
Southern Utah,False,Q2,52.41,6,14,2,5,1,3,15,2,8,10,0,0,0,3,11,20251221
Southern Utah,False,Q3,46.28,9,11,2,2,4,6,24,0,2,2,0,0,0,3,7,20251221
Southern Utah,False,Q4,49.85,6,16,3,7,3,5,18,0,6,6,0,0,0,1,15,20251221
