team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,199.79,24,56,3,11,12,24,63,16,19,35,0,0,0,14,37,20251205
LMU,True,Q1,43.33,6,15,0,2,3,4,15,2,5,7,0,0,0,5,4,20251205
LMU,True,Q2,51.65,2,13,2,5,1,6,7,7,6,13,0,0,0,7,11,20251205
LMU,True,Q3,47.36,8,15,1,3,0,0,17,3,5,8,0,0,0,1,10,20251205
LMU,True,Q4,54.16,8,13,0,1,8,14,24,4,3,7,0,0,0,1,12,20251205
Utah St.,False,EOG,205.02,20,43,5,18,13,19,58,5,17,22,0,0,0,20,37,20251205
Utah St.,False,Q1,44.95,5,12,3,8,1,2,14,1,6,7,0,0,0,8,4,20251205
Utah St.,False,Q2,46.82,3,10,0,4,2,3,8,1,5,6,0,0,0,5,11,20251205
Utah St.,False,Q3,46.6,5,10,1,1,6,10,17,2,3,5,0,0,0,2,10,20251205
Utah St.,False,Q4,53.65,7,11,1,5,4,4,19,1,3,4,0,0,0,5,12,20251205
