team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,211.71,32,61,3,8,7,10,74,9,16,25,0,0,0,8,30,20260117
LMU,False,Q1,40.04,10,18,1,2,1,1,22,1,6,7,0,0,0,0,6,20260117
LMU,False,Q2,42.82,6,13,0,0,2,3,14,2,4,6,0,0,0,3,6,20260117
LMU,False,Q3,50.93,7,16,0,2,3,3,17,4,3,7,0,0,0,4,8,20260117
LMU,False,Q4,56.54,9,14,2,4,1,3,21,2,3,5,0,0,0,1,10,20260117
Pacific,True,EOG,218.19,18,47,3,17,15,17,54,10,19,29,0,0,0,21,30,20260117
Pacific,True,Q1,42.56,4,13,1,5,0,0,9,1,5,6,0,0,0,5,6,20260117
Pacific,True,Q2,64.27,5,12,0,3,1,1,11,2,6,8,0,0,0,5,6,20260117
Pacific,True,Q3,53.03,4,10,1,5,5,6,14,3,4,7,0,0,0,8,8,20260117
Pacific,True,Q4,57.34,5,12,1,4,9,10,20,4,4,8,0,0,0,3,10,20260117
