team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
LMU,False,EOG,16,13,11,22,20260124
LMU,False,Q1,4,3,4,8,20260124
LMU,False,Q2,5,4,2,6,20260124
LMU,False,Q3,4,2,2,4,20260124
LMU,False,Q4,3,4,3,4,20260124
San Diego,True,EOG,14,7,24,30,20260124
San Diego,True,Q1,4,0,6,8,20260124
San Diego,True,Q2,4,3,6,8,20260124
San Diego,True,Q3,6,2,6,8,20260124
San Diego,True,Q4,0,2,6,6,20260124
