team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
LMU,True,EOG,20,24,18,50,20260102
LMU,True,Q1,6,4,4,12,20260102
LMU,True,Q2,2,5,2,8,20260102
LMU,True,Q3,6,6,4,18,20260102
LMU,True,Q4,6,9,8,12,20260102
Santa Clara,False,EOG,21,8,13,54,20260102
Santa Clara,False,Q1,3,0,2,8,20260102
Santa Clara,False,Q2,5,4,5,14,20260102
Santa Clara,False,Q3,6,2,4,14,20260102
Santa Clara,False,Q4,7,2,2,18,20260102
