team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Denver,False,EOG,198.18,21,54,5,17,10,13,57,12,16,28,0,0,0,18,40,20251109
Denver,False,Q1,46.34,3,15,0,5,2,2,8,3,5,8,0,0,0,5,9,20251109
Denver,False,Q2,51.42,4,10,0,2,4,5,12,2,5,7,0,0,0,5,11,20251109
Denver,False,Q3,47.83,6,15,5,7,1,2,18,2,2,4,0,0,0,3,9,20251109
Denver,False,Q4,49.71,8,14,0,3,3,4,19,5,4,9,0,0,0,5,11,20251109
LMU,True,EOG,227.64,24,58,6,16,10,14,64,12,18,30,0,0,0,10,40,20251109
LMU,True,Q1,49.44,5,14,2,3,3,3,15,1,6,7,0,0,0,2,9,20251109
LMU,True,Q2,59.36,7,19,1,7,3,4,18,5,4,9,0,0,0,0,11,20251109
LMU,True,Q3,61.37,6,14,1,1,3,4,16,4,6,10,0,0,0,4,9,20251109
LMU,True,Q4,57.45,6,11,2,5,1,3,15,2,2,4,0,0,0,4,11,20251109
