team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
Idaho St.,False,EOG,13,6,3,34,20251123
Idaho St.,False,Q1,2,4,0,8,20251123
Idaho St.,False,Q2,5,0,3,10,20251123
Idaho St.,False,Q3,4,2,0,4,20251123
Idaho St.,False,Q4,2,0,0,12,20251123
LMU,True,EOG,17,10,8,32,20251123
LMU,True,Q1,4,2,2,10,20251123
LMU,True,Q2,5,2,5,8,20251123
LMU,True,Q3,1,0,0,0,20251123
LMU,True,Q4,7,6,1,14,20251123
