team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,allison clarke,AC,EOG,26.6,0,6,0,5,3,3,3,0,2,2,0,0,0,1,4,20251220
LMU,True,allison clarke,AC,Q1,4.65,0,2,0,2,3,3,3,0,1,1,0,0,0,0,1,20251220
LMU,True,allison clarke,AC,Q2,10.0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,2,20251220
LMU,True,allison clarke,AC,Q3,10.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,20251220
LMU,True,allison clarke,AC,Q4,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251220
LMU,True,andjela matic,AM,EOG,29.92,4,9,2,4,0,0,10,1,2,3,0,0,0,1,1,20251220
LMU,True,andjela matic,AM,Q1,8.18,0,2,0,0,0,0,0,1,1,2,0,0,0,1,1,20251220
LMU,True,andjela matic,AM,Q2,7.85,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,20251220
LMU,True,andjela matic,AM,Q3,6.98,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20251220
LMU,True,andjela matic,AM,Q4,6.9,2,4,2,4,0,0,6,0,1,1,0,0,0,0,0,20251220
LMU,True,carly heidger,CH,EOG,29.72,3,6,2,4,0,0,8,1,3,4,0,0,0,1,5,20251220
LMU,True,carly heidger,CH,Q1,6.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20251220
LMU,True,carly heidger,CH,Q2,8.37,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,20251220
LMU,True,carly heidger,CH,Q3,9.05,1,2,1,2,0,0,3,0,2,2,0,0,0,0,1,20251220
LMU,True,carly heidger,CH,Q4,5.45,1,2,1,2,0,0,3,0,1,1,0,0,0,1,3,20251220
LMU,True,ivana krajina,IK,EOG,34.02,0,3,0,2,0,0,0,0,0,0,0,0,0,1,4,20251220
LMU,True,ivana krajina,IK,Q1,4.23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,20251220
LMU,True,ivana krajina,IK,Q3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20251220
LMU,True,ivana krajina,IK,Q4,9.78,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,20251220
LMU,True,jess lawson,JL,EOG,23.45,3,7,0,1,2,3,8,3,5,8,0,0,0,2,6,20251220
LMU,True,jess lawson,JL,Q1,6.17,1,2,0,0,0,0,2,1,2,3,0,0,0,1,0,20251220
LMU,True,jess lawson,JL,Q2,3.72,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,20251220
LMU,True,jess lawson,JL,Q3,6.2,2,3,0,0,2,3,6,2,2,4,0,0,0,1,3,20251220
LMU,True,jess lawson,JL,Q4,7.37,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,20251220
LMU,True,kayla jones,KJ,EOG,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20251220
LMU,True,kayla jones,KJ,Q1,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20251220
LMU,True,kayla jones,KJ,Q3,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251220
LMU,True,kayla jones,KJ,Q4,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20251220
