team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Gonzaga,True,EOG,300.46,34,70,4,9,15,17,87,12,27,39,0,0,0,14,33,20251228
Gonzaga,True,OT1,19.21,5,8,2,2,0,0,12,1,1,2,0,0,0,1,0,20251228
Gonzaga,True,OT2,26.52,3,5,0,0,6,6,12,0,3,3,0,0,0,0,4,20251228
Gonzaga,True,Q1,40.02,6,14,1,2,2,3,15,4,5,9,0,0,0,4,7,20251228
Gonzaga,True,Q2,59.52,5,16,0,1,3,4,13,4,8,12,0,0,0,4,5,20251228
Gonzaga,True,Q3,54.94,8,15,1,3,0,0,17,1,6,7,0,0,0,1,6,20251228
Gonzaga,True,Q4,48.38,7,12,0,1,4,4,18,2,4,6,0,0,0,4,11,20251228
LMU,False,EOG,295.45,29,70,7,26,15,20,80,10,18,28,0,0,0,11,33,20251228
LMU,False,OT1,24.34,5,8,2,4,0,0,12,1,1,2,0,0,0,1,0,20251228
LMU,False,OT2,19.67,2,7,1,6,0,0,5,1,1,2,0,0,0,2,4,20251228
LMU,False,Q1,49.5,4,11,1,3,2,2,11,1,5,6,0,0,0,4,7,20251228
LMU,False,Q2,50.06,6,16,2,6,4,6,18,3,7,10,0,0,0,2,5,20251228
LMU,False,Q3,39.3,3,8,1,3,6,9,13,0,3,3,0,0,0,1,6,20251228
LMU,False,Q4,51.53,9,20,0,4,3,3,21,4,1,5,0,0,0,1,11,20251228
