team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,192.09,21,49,5,16,5,11,52,6,14,20,0,0,0,15,27,20251113
LMU,False,Q1,43.85,4,12,2,2,2,4,12,2,4,6,0,0,0,4,7,20251113
LMU,False,Q2,46.839999999999996,5,10,2,5,1,1,13,0,3,3,0,0,0,4,4,20251113
LMU,False,Q3,46.46,6,16,0,4,0,0,12,2,4,6,0,0,0,4,5,20251113
LMU,False,Q4,48.63,6,11,1,5,2,6,15,2,3,5,0,0,0,3,11,20251113
Nevada,True,EOG,269.97,23,45,4,8,6,7,56,5,17,22,0,0,0,17,27,20251113
Nevada,True,Q1,55.339999999999996,5,10,0,1,1,1,11,1,4,5,0,0,0,7,7,20251113
Nevada,True,Q2,62.02,5,12,2,3,1,2,13,3,4,7,0,0,0,3,4,20251113
Nevada,True,Q3,48.8,7,13,2,2,2,2,18,1,7,8,0,0,0,4,5,20251113
Nevada,True,Q4,47.32,6,10,0,2,2,2,14,0,2,2,0,0,0,3,11,20251113
