team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
LMU,True,EOG,20,11,3,34,20251220
LMU,True,Q1,4,4,0,8,20251220
LMU,True,Q2,8,2,0,10,20251220
LMU,True,Q3,6,5,0,12,20251220
LMU,True,Q4,2,0,3,4,20251220
Weber St.,False,EOG,9,9,5,34,20251220
Weber St.,False,Q1,2,0,0,6,20251220
Weber St.,False,Q2,3,0,3,6,20251220
Weber St.,False,Q3,1,2,0,12,20251220
Weber St.,False,Q4,3,7,2,10,20251220
