team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Hawaii,True,EOG,207.36,20,47,6,14,9,18,55,5,22,27,0,0,0,12,44,20251121
Hawaii,True,Q1,50.99,4,12,1,3,0,1,9,1,6,7,0,0,0,3,9,20251121
Hawaii,True,Q2,48.0,8,14,2,5,0,3,18,2,5,7,0,0,0,2,10,20251121
Hawaii,True,Q3,51.67,2,11,1,2,2,2,7,1,8,9,0,0,0,5,11,20251121
Hawaii,True,Q4,50.0,6,10,2,4,7,12,21,1,3,4,0,0,0,2,14,20251121
LMU,False,EOG,218.51,18,55,5,20,10,19,51,10,21,31,0,0,0,6,44,20251121
LMU,False,Q1,39.51,3,12,0,4,4,5,10,0,8,8,0,0,0,0,9,20251121
LMU,False,Q2,64.29,5,15,2,7,1,2,13,3,4,7,0,0,0,3,10,20251121
LMU,False,Q3,54.01,3,12,2,5,2,7,10,3,6,9,0,0,0,1,11,20251121
LMU,False,Q4,52.68,7,16,1,4,3,5,18,4,3,7,0,0,0,2,14,20251121
