team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,200.16,26,73,3,14,9,19,64,14,17,31,0,0,0,11,32,20251213
LMU,False,Q1,48.34,5,20,1,6,2,3,13,3,5,8,0,0,0,2,8,20251213
LMU,False,Q2,48.57,9,17,1,1,0,2,19,2,4,6,0,0,0,2,2,20251213
LMU,False,Q3,48.300000000000004,6,18,0,2,2,5,14,5,3,8,0,0,0,2,6,20251213
LMU,False,Q4,46.29,6,18,1,5,5,9,18,4,5,9,0,0,0,5,16,20251213
Wichita St.,True,EOG,200.25,24,49,8,20,15,20,71,8,30,38,0,0,0,20,32,20251213
Wichita St.,True,Q1,44.4,5,11,4,7,4,6,18,2,10,12,0,0,0,6,8,20251213
Wichita St.,True,Q2,53.410000000000004,8,15,3,5,0,0,19,3,6,9,0,0,0,4,2,20251213
Wichita St.,True,Q3,48.06,7,15,1,4,0,0,15,3,6,9,0,0,0,5,6,20251213
Wichita St.,True,Q4,48.18,4,8,0,4,11,14,19,0,8,8,0,0,0,5,16,20251213
