team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,232.61,23,57,4,17,10,13,60,9,18,27,0,0,0,13,39,20251220
LMU,True,Q1,42.03,5,15,0,3,3,3,13,2,6,8,0,0,0,2,8,20251220
LMU,True,Q2,51.57,6,15,0,3,0,0,12,2,3,5,0,0,0,2,6,20251220
LMU,True,Q3,64.4,7,15,1,3,5,6,20,4,4,8,0,0,0,4,14,20251220
LMU,True,Q4,51.5,5,12,3,8,2,4,15,1,5,6,0,0,0,5,11,20251220
Weber St.,False,EOG,231.96,23,45,5,12,17,26,68,6,20,26,0,0,0,16,39,20251220
Weber St.,False,Q1,42.4,4,10,1,2,4,7,13,1,8,9,0,0,0,4,8,20251220
Weber St.,False,Q2,50.0,5,10,2,4,2,2,14,1,5,6,0,0,0,5,6,20251220
Weber St.,False,Q3,56.519999999999996,8,11,1,3,3,5,20,0,3,3,0,0,0,4,14,20251220
Weber St.,False,Q4,59.78,6,14,1,3,8,12,21,4,4,8,0,0,0,3,11,20251220
