team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,201.39,21,64,3,19,15,19,60,12,17,29,0,0,0,12,28,20260124
LMU,False,Q1,41.03,7,17,0,4,1,2,15,3,5,8,0,0,0,4,4,20260124
LMU,False,Q2,42.98,6,18,2,5,2,3,16,5,4,9,0,0,0,4,6,20260124
LMU,False,Q3,51.13,5,11,0,0,6,6,16,1,4,5,0,0,0,4,6,20260124
LMU,False,Q4,43.24,3,18,1,10,6,8,13,3,4,7,0,0,0,0,12,20260124
San Diego,True,EOG,211.67000000000002,26,53,4,6,13,17,69,7,28,35,0,0,0,19,28,20260124
San Diego,True,Q1,39.83,5,14,0,1,2,2,12,1,5,6,0,0,0,5,4,20260124
San Diego,True,Q2,45.44,7,15,1,1,2,2,17,3,6,9,0,0,0,7,6,20260124
San Diego,True,Q3,52.21,8,13,1,2,2,2,19,1,5,6,0,0,0,4,6,20260124
San Diego,True,Q4,49.85,6,11,2,2,7,11,21,2,12,14,0,0,0,3,12,20260124
