team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Denver,False,ana conde,,EOG,16.93,2,4,0,0,2,2,6,2,3,5,0,0,0,0,5,20251109
Denver,False,ana conde,,Q1,6.52,0,1,0,0,2,2,2,1,1,2,0,0,0,0,3,20251109
Denver,False,ana conde,,Q3,4.45,0,1,0,0,0,0,0,1,1,2,0,0,0,0,2,20251109
Denver,False,ana conde,,Q4,5.25,2,2,0,0,0,0,4,0,1,1,0,0,0,0,0,20251109
Denver,False,brooke murrell,,EOG,26.45,1,3,0,0,1,2,3,3,3,6,0,0,0,1,6,20251109
Denver,False,brooke murrell,,Q1,4.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,20251109
Denver,False,brooke murrell,,Q2,10.0,1,1,0,0,0,0,2,1,1,2,0,0,0,0,2,20251109
Denver,False,brooke murrell,,Q3,1.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20251109
Denver,False,brooke murrell,,Q4,10.0,0,1,0,0,1,2,1,2,1,3,0,0,0,1,2,20251109
Denver,False,coryn watts,,EOG,36.9,9,19,2,8,3,5,23,1,4,5,0,0,0,4,5,20251109
Denver,False,coryn watts,,Q1,6.9,2,5,0,2,0,0,4,0,1,1,0,0,0,1,0,20251109
Denver,False,coryn watts,,Q2,10.0,1,4,0,1,2,3,4,0,2,2,0,0,0,2,2,20251109
Denver,False,coryn watts,,Q3,10.0,2,5,2,4,1,2,7,1,1,2,0,0,0,1,1,20251109
Denver,False,coryn watts,,Q4,10.0,4,5,0,1,0,0,8,0,0,0,0,0,0,0,2,20251109
Denver,False,jocelyn medina,,EOG,23.45,4,9,2,4,2,2,12,2,2,4,0,0,0,4,5,20251109
Denver,False,jocelyn medina,,Q1,7.52,1,3,0,1,0,0,2,0,1,1,0,0,0,1,0,20251109
Denver,False,jocelyn medina,,Q2,2.57,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,20251109
Denver,False,jocelyn medina,,Q3,7.82,2,3,2,2,0,0,6,0,0,0,0,0,0,2,1,20251109
Denver,False,jocelyn medina,,Q4,5.55,1,2,0,1,2,2,4,1,1,2,0,0,0,0,2,20251109
Denver,False,karolina padilla,,EOG,20.73,1,5,1,2,0,0,3,3,1,4,0,0,0,2,1,20251109
Denver,False,karolina padilla,,Q1,6.23,0,3,0,1,0,0,0,2,0,2,0,0,0,1,1,20251109
Denver,False,karolina padilla,,Q2,4.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20251109
Denver,False,karolina padilla,,Q3,7.82,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,20251109
Denver,False,karolina padilla,,Q4,2.18,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,20251109
Denver,False,laia monclova,,EOG,27.52,2,6,0,1,0,0,4,0,2,2,0,0,0,4,8,20251109
Denver,False,laia monclova,,Q1,5.4,0,2,0,1,0,0,0,0,1,1,0,0,0,1,3,20251109
Denver,False,laia monclova,,Q2,5.5,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,20251109
Denver,False,laia monclova,,Q3,9.07,1,3,0,0,0,0,2,0,0,0,0,0,0,0,2,20251109
Denver,False,laia monclova,,Q4,7.55,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,20251109
Denver,False,laila mcleod,,EOG,6.1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,20251109
Denver,False,laila mcleod,,Q2,6.1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,20251109
Denver,False,lily esparza,,EOG,17.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,20251109
Denver,False,lily esparza,,Q1,5.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20251109
Denver,False,lily esparza,,Q2,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20251109
Denver,False,lily esparza,,Q3,7.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20251109
Denver,False,team,,EOG,0.0,0,0,0,0,0,0,0,6,7,13,0,0,0,1,0,20251109
Denver,False,team,,Q1,0.0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,20251109
Denver,False,team,,Q2,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,20251109
Denver,False,team,,Q3,0.0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,20251109
Denver,False,victoria baker,,EOG,22.6,2,4,0,1,2,2,6,1,0,1,0,0,0,2,5,20251109
Denver,False,victoria baker,,Q1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20251109
Denver,False,victoria baker,,Q2,7.43,1,1,0,0,2,2,4,0,0,0,0,0,0,0,2,20251109
