team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,211.79999999999998,32,71,3,14,25,28,92,15,18,33,0,0,0,16,36,20260102
LMU,True,Q1,46.53,9,17,1,1,0,0,19,3,3,6,0,0,0,4,5,20260102
LMU,True,Q2,50.0,6,18,1,6,3,5,16,2,5,7,0,0,0,3,8,20260102
LMU,True,Q3,53.660000000000004,9,16,0,1,4,4,22,4,5,9,0,0,0,6,7,20260102
LMU,True,Q4,50.17,8,20,1,6,18,19,35,6,5,11,0,0,0,3,16,20260102
Santa Clara,False,EOG,209.65,35,68,6,28,9,15,85,9,18,27,0,0,0,18,36,20260102
Santa Clara,False,Q1,50.62,4,12,0,6,3,4,11,2,3,5,0,0,0,7,5,20260102
Santa Clara,False,Q2,51.22,9,16,1,4,5,7,24,3,8,11,0,0,0,3,8,20260102
Santa Clara,False,Q3,51.39,9,16,2,7,1,2,21,1,2,3,0,0,0,4,7,20260102
Santa Clara,False,Q4,56.39,13,24,3,11,0,2,29,3,5,8,0,0,0,4,16,20260102
