team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,allison clarke,AC,EOG,21.22,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,20260102
LMU,True,allison clarke,AC,Q1,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260102
LMU,True,allison clarke,AC,Q2,7.15,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,20260102
LMU,True,allison clarke,AC,Q3,6.62,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,20260102
LMU,True,allison clarke,AC,Q4,1.62,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20260102
LMU,True,andjela matic,AM,EOG,29.35,2,6,2,5,5,5,11,0,3,3,0,0,0,3,5,20260102
LMU,True,andjela matic,AM,Q1,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20260102
LMU,True,andjela matic,AM,Q2,6.95,1,3,1,2,3,3,6,0,0,0,0,0,0,0,2,20260102
LMU,True,andjela matic,AM,Q3,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20260102
LMU,True,andjela matic,AM,Q4,10.0,1,3,1,3,2,2,5,0,3,3,0,0,0,1,2,20260102
LMU,True,carly heidger,CH,EOG,23.05,3,7,0,0,0,0,6,3,2,5,0,0,0,2,0,20260102
LMU,True,carly heidger,CH,Q1,8.5,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,20260102
LMU,True,carly heidger,CH,Q2,7.83,0,2,0,0,0,0,0,1,2,3,0,0,0,0,0,20260102
LMU,True,carly heidger,CH,Q3,5.1,1,2,0,0,0,0,2,1,0,1,0,0,0,0,0,20260102
LMU,True,carly heidger,CH,Q4,1.62,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,20260102
LMU,True,ivana krajina,IK,EOG,33.93,1,1,0,0,4,4,6,1,2,3,0,0,0,4,6,20260102
LMU,True,ivana krajina,IK,Q1,3.97,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,20260102
LMU,True,ivana krajina,IK,Q3,9.97,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,20260102
LMU,True,ivana krajina,IK,Q4,10.0,1,1,0,0,4,4,6,1,0,1,0,0,0,1,3,20260102
LMU,True,jess lawson,JL,EOG,32.48,5,18,0,2,11,11,21,4,3,7,0,0,0,2,11,20260102
LMU,True,jess lawson,JL,Q1,9.27,1,4,0,0,0,0,2,2,1,3,0,0,0,0,1,20260102
LMU,True,jess lawson,JL,Q2,8.77,0,4,0,1,0,0,0,0,1,1,0,0,0,1,1,20260102
LMU,True,jess lawson,JL,Q3,5.9,3,5,0,0,4,4,10,0,0,0,0,0,0,0,2,20260102
LMU,True,jess lawson,JL,Q4,8.55,1,5,0,1,7,7,9,2,1,3,0,0,0,1,7,20260102
LMU,True,kayla jones,KJ,EOG,8.87,2,7,0,0,0,0,4,4,1,5,0,0,0,0,2,20260102
LMU,True,kayla jones,KJ,Q1,2.43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20260102
LMU,True,kayla jones,KJ,Q2,3.27,2,2,0,0,0,0,4,1,0,1,0,0,0,0,1,20260102
LMU,True,kayla jones,KJ,Q3,1.55,0,2,0,0,0,0,0,2,1,3,0,0,0,0,0,20260102
LMU,True,kayla jones,KJ,Q4,1.62,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,20260102
LMU,True,maya hernandez,MH,EOG,30.32,11,17,0,0,3,6,25,2,3,5,0,0,0,0,8,20260102
LMU,True,maya hernandez,MH,Q1,6.78,4,6,0,0,0,0,8,1,0,1,0,0,0,0,0,20260102
LMU,True,maya hernandez,MH,Q2,6.73,1,2,0,0,0,2,2,0,0,0,0,0,0,0,2,20260102
LMU,True,maya hernandez,MH,Q3,8.42,2,3,0,0,0,0,4,0,2,2,0,0,0,0,3,20260102
LMU,True,maya hernandez,MH,Q4,8.38,4,6,0,0,3,4,11,1,1,2,0,0,0,0,3,20260102
LMU,True,paula reus piza,PR,EOG,16.88,5,6,1,2,2,2,13,1,3,4,0,0,0,1,2,20260102
LMU,True,paula reus piza,PR,Q1,1.47,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,20260102
LMU,True,paula reus piza,PR,Q2,2.17,1,1,0,0,0,0,2,0,2,2,0,0,0,0,0,20260102
LMU,True,paula reus piza,PR,Q3,4.87,2,2,0,0,0,0,4,1,1,2,0,0,0,1,1,20260102
LMU,True,paula reus piza,PR,Q4,8.38,1,2,0,1,2,2,4,0,0,0,0,0,0,0,1,20260102
LMU,True,team,,EOG,0.0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,20260102
LMU,True,team,,Q1,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,20260102
LMU,True,team,,Q2,0.0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,20260102
LMU,True,team,,Q3,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20260102
LMU,True,team,,Q4,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,20260102
LMU,True,zawadi ogot,ZO,EOG,15.7,3,4,0,0,0,0,6,0,1,1,0,0,0,2,0,20260102
LMU,True,zawadi ogot,ZO,Q1,2.43,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,20260102
LMU,True,zawadi ogot,ZO,Q2,7.13,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,20260102
LMU,True,zawadi ogot,ZO,Q3,4.68,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20260102
Santa Clara,False,aniya hooker,,EOG,26.93,5,10,1,5,0,1,11,2,1,3,0,0,0,2,4,20260102
Santa Clara,False,aniya hooker,,Q1,6.13,1,3,0,1,0,0,2,0,0,0,0,0,0,1,0,20260102
Santa Clara,False,aniya hooker,,Q2,7.23,3,4,1,2,0,1,7,1,1,2,0,0,0,0,1,20260102
Santa Clara,False,aniya hooker,,Q3,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20260102
Santa Clara,False,aniya hooker,,Q4,6.95,1,3,0,2,0,0,2,1,0,1,0,0,0,1,1,20260102
Santa Clara,False,ashley hawkins,,EOG,33.22,6,9,0,2,2,4,14,0,3,3,0,0,0,5,9,20260102
Santa Clara,False,ashley hawkins,,Q1,8.17,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,20260102
Santa Clara,False,ashley hawkins,,Q2,8.28,2,2,0,0,2,2,6,0,0,0,0,0,0,1,2,20260102
Santa Clara,False,ashley hawkins,,Q3,7.7,2,2,0,0,0,0,4,0,1,1,0,0,0,1,1,20260102
Santa Clara,False,ashley hawkins,,Q4,9.07,2,3,0,1,0,2,4,0,2,2,0,0,0,2,5,20260102
Santa Clara,False,ava schmidt,,EOG,25.77,3,8,0,5,0,0,6,0,3,3,0,0,0,2,4,20260102
Santa Clara,False,ava schmidt,,Q1,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20260102
Santa Clara,False,ava schmidt,,Q2,5.68,1,2,0,1,0,0,2,0,2,2,0,0,0,0,0,20260102
Santa Clara,False,ava schmidt,,Q3,6.7,1,4,0,3,0,0,2,0,0,0,0,0,0,1,2,20260102
Santa Clara,False,ava schmidt,,Q4,7.37,1,2,0,1,0,0,2,0,1,1,0,0,0,0,2,20260102
Santa Clara,False,delainey miller,,EOG,22.9,3,8,0,2,1,2,7,1,2,3,0,0,0,2,3,20260102
Santa Clara,False,delainey miller,,Q1,3.95,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,20260102
Santa Clara,False,delainey miller,,Q2,4.48,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,20260102
Santa Clara,False,delainey miller,,Q3,6.62,3,4,0,0,1,2,7,0,0,0,0,0,0,0,1,20260102
Santa Clara,False,delainey miller,,Q4,7.85,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,20260102
Santa Clara,False,kylee fox,,EOG,34.35,3,9,2,6,2,2,10,0,4,4,0,0,0,1,3,20260102
Santa Clara,False,kylee fox,,Q1,7.63,0,1,0,1,2,2,2,0,1,1,0,0,0,0,2,20260102
Santa Clara,False,kylee fox,,Q2,10.0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1,20260102
Santa Clara,False,kylee fox,,Q3,8.17,1,2,1,2,0,0,3,0,0,0,0,0,0,1,0,20260102
Santa Clara,False,kylee fox,,Q4,8.55,2,4,1,3,0,0,5,0,1,1,0,0,0,0,0,20260102
Santa Clara,False,maia jones,,EOG,29.93,6,13,3,8,1,2,16,4,1,5,0,0,0,2,6,20260102
Santa Clara,False,maia jones,,Q1,7.73,0,2,0,2,1,2,1,1,0,1,0,0,0,1,2,20260102
Santa Clara,False,maia jones,,Q2,5.55,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,20260102
Santa Clara,False,maia jones,,Q3,8.35,2,4,1,2,0,0,5,1,0,1,0,0,0,0,0,20260102
Santa Clara,False,maia jones,,Q4,8.3,4,6,2,4,0,0,10,2,0,2,0,0,0,0,3,20260102
Santa Clara,False,sophie glancey,,EOG,23.82,9,11,0,0,2,2,20,1,1,2,0,0,0,1,4,20260102
Santa Clara,False,sophie glancey,,Q1,8.17,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,20260102
Santa Clara,False,sophie glancey,,Q2,7.35,3,3,0,0,2,2,8,1,1,2,0,0,0,1,1,20260102
Santa Clara,False,sophie glancey,,Q4,8.3,3,5,0,0,0,0,6,0,0,0,0,0,0,0,3,20260102
Santa Clara,False,team,,EOG,0.0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,20260102
Santa Clara,False,team,,Q1,0.0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,20260102
Santa Clara,False,team,,Q2,0.0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,20260102
Santa Clara,False,team,,Q3,0.0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,20260102
Santa Clara,False,team,,Q4,0.0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,20260102
Santa Clara,False,tyler gildersleeve-stiles,,EOG,12.73,0,0,0,0,1,2,1,1,3,4,0,0,0,3,3,20260102
Santa Clara,False,tyler gildersleeve-stiles,,Q1,2.82,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,20260102
Santa Clara,False,tyler gildersleeve-stiles,,Q2,2.65,0,0,0,0,1,2,1,0,1,1,0,0,0,0,2,20260102
Santa Clara,False,tyler gildersleeve-stiles,,Q3,7.23,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,20260102
