team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,False,EOG,209.02,23,56,4,14,17,22,67,10,22,32,0,0,0,6,30,20251230
LMU,False,Q1,48.35,4,17,1,6,3,3,12,2,5,7,0,0,0,1,4,20251230
LMU,False,Q2,57.96,5,12,3,7,3,6,16,3,8,11,0,0,0,2,8,20251230
LMU,False,Q3,53.15,10,16,0,0,6,7,26,1,4,5,0,0,0,0,8,20251230
LMU,False,Q4,49.17,4,11,0,1,5,6,13,4,5,9,0,0,0,3,10,20251230
Washington St.,True,EOG,211.75,24,58,7,24,3,7,58,10,18,28,0,0,0,14,30,20251230
Washington St.,True,Q1,40.47,7,13,2,4,0,0,16,0,8,8,0,0,0,3,4,20251230
Washington St.,True,Q2,58.05,4,16,2,11,2,3,12,4,4,8,0,0,0,4,8,20251230
Washington St.,True,Q3,51.7,5,12,3,6,0,1,13,2,3,5,0,0,0,7,8,20251230
Washington St.,True,Q4,40.2,8,17,0,3,1,3,17,4,3,7,0,0,0,0,10,20251230
