team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,236.81,34,56,10,20,9,9,87,4,20,24,0,0,0,10,27,20260129
LMU,True,Q1,42.66,12,14,1,2,0,0,25,0,5,5,0,0,0,2,5,20260129
LMU,True,Q2,66.58,7,12,3,5,2,2,19,0,6,6,0,0,0,2,8,20260129
LMU,True,Q3,41.410000000000004,6,12,2,7,4,4,18,0,7,7,0,0,0,4,6,20260129
LMU,True,Q4,52.07,9,18,4,6,3,3,25,4,2,6,0,0,0,2,8,20260129
Pacific,False,EOG,202.92,25,59,11,24,5,7,66,7,15,22,0,0,0,14,27,20260129
Pacific,False,Q1,41.38,5,13,1,3,0,0,11,2,2,4,0,0,0,4,5,20260129
Pacific,False,Q2,50.0,6,14,3,5,4,5,19,1,3,4,0,0,0,2,8,20260129
Pacific,False,Q3,51.25,5,15,3,8,0,0,13,1,6,7,0,0,0,5,6,20260129
Pacific,False,Q4,58.16,9,17,4,8,1,2,23,3,4,7,0,0,0,3,8,20260129
