team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,218.68,21,61,8,15,5,7,55,12,19,31,0,0,0,8,31,20260115
LMU,True,Q1,47.22,7,15,5,7,0,0,19,1,6,7,0,0,0,3,2,20260115
LMU,True,Q2,51.89,4,16,1,2,3,4,12,6,3,9,0,0,0,3,10,20260115
LMU,True,Q3,58.38,5,16,1,3,2,2,13,2,3,5,0,0,0,2,10,20260115
LMU,True,Q4,49.5,5,14,1,3,0,1,11,3,7,10,0,0,0,0,9,20260115
Oregon St.,False,EOG,205.98000000000002,19,43,3,12,10,16,51,4,22,26,0,0,0,14,30,20260115
Oregon St.,False,Q1,30.65,5,13,2,5,0,0,12,2,4,6,0,0,0,4,2,20260115
Oregon St.,False,Q2,54.629999999999995,6,9,1,3,5,6,18,0,6,6,0,0,0,4,10,20260115
Oregon St.,False,Q3,51.41,5,9,0,1,5,8,15,0,7,7,0,0,0,5,9,20260115
Oregon St.,False,Q4,52.150000000000006,3,12,0,3,0,2,6,2,5,7,0,0,0,1,9,20260115
