team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,216.34,22,50,6,18,10,15,60,6,26,32,0,0,0,26,30,20251105
LMU,True,Q1,48.07,7,13,2,6,1,2,17,1,9,10,0,0,0,5,8,20251105
LMU,True,Q2,55.3,4,11,0,3,1,2,9,1,7,8,0,0,0,9,7,20251105
LMU,True,Q3,51.43,9,15,4,5,4,5,26,2,4,6,0,0,0,5,5,20251105
LMU,True,Q4,49.08,2,11,0,4,4,6,8,2,6,8,0,0,0,7,10,20251105
Utah Valley,False,EOG,199.56,25,58,7,19,7,13,64,4,18,22,0,0,0,17,30,20251105
Utah Valley,False,Q1,43.019999999999996,4,13,1,4,3,4,12,1,4,5,0,0,0,3,8,20251105
Utah Valley,False,Q2,51.650000000000006,8,15,2,6,1,3,19,0,6,6,0,0,0,4,7,20251105
Utah Valley,False,Q3,54.58,9,18,2,5,0,0,20,2,4,6,0,0,0,7,5,20251105
Utah Valley,False,Q4,48.81,4,12,2,4,3,6,13,1,4,5,0,0,0,3,10,20251105
